id,text,sentence,pet,label,category,euph_status,sub-category,pet_wordform,translation,year,notes,pun,label2,label3,notes2,source,lemma_count
140,"ЄС і Сполучені Штати повинні зробити все для того, щоб переговори щодо цієї честолюбної, всеосяжної і <взаємовигідної угоди> були завершені до кінця 2015 року","ЄС і Сполучені Штати повинні зробити все для того, щоб переговори щодо цієї честолюбної, всеосяжної і <взаємовигідної угоди> були завершені до кінця 2015 року",взаємовигідна угода,0,politics,sometimes_euph,corruption,взаємовигідної угоди,mutually beneficial deal,,,,,,,Grac v.18,13
141,Жінка отримувала від них грошові кошти під приводом зборів <благодійних внесків>  на потреби Збройних сил України.,Жінка отримувала від них грошові кошти під приводом зборів <благодійних внесків>  на потреби Збройних сил України.,благодійний внесок,0,politics,sometimes_euph,corruption,благодійних внесків,voluntary donation,,,,,,,Grac v.18,13
142,"З іншого боку,«Спартак» не готовий достроково розривати <взаємовигідні угоди> з підприємствами і навчальними закладами, які проводять на арені загальноміські спортивні і культурні заходи.","З іншого боку,«Спартак» не готовий достроково розривати <взаємовигідні угоди> з підприємствами і навчальними закладами, які проводять на арені загальноміські спортивні і культурні заходи.",взаємовигідна угода,0,politics,sometimes_euph,corruption,взаємовигідні угоди,mutually beneficial deal,,,,,,,Grac v.18,13
154,"За його словами, 21 з 30 ключових матеріалів, необхідних Європі, може бути наданий Україною в рамках <взаємовигідної угоди>.","За його словами, 21 з 30 ключових матеріалів, необхідних Європі, може бути наданий Україною в рамках <взаємовигідної угоди>.",взаємовигідна угода,0,politics,sometimes_euph,corruption,взаємовигідної угоди,mutually beneficial deal,,,,,,,pawuk,13
155,"За її словами, Пристайка знають як професійного дипломата, який <має знайомства> у західних країнах.","За її словами, Пристайка знають як професійного дипломата, який <має знайомства> у західних країнах.",мати знайомство,0,politics,sometimes_euph,corruption,має знайомства,have acquaintances,,,,,,,Grac v.18,7
163,За таку безумовну любов до котика гріх було б <брати винагороду>. Сподіваюся він якнайшвидше знайдеться,За таку безумовну любов до котика гріх було б <брати винагороду>. Сподіваюся він якнайшвидше знайдеться,брати винагороду,0,politics,sometimes_euph,corruption,брати винагороду,take a reward,,,,,,,pawuk,3
165,Завдяки цьому процес переговорів і призвів до <прискорення процедури> видачі віз.,Завдяки цьому процес переговорів і призвів до <прискорення процедури> видачі віз.,прискорення процедури,0,politics,sometimes_euph,corruption,прискорення процедури,legal facilitation,,,,,,,Grac v.18,8
168,"Запит військовослужбовців виконано коштом <благодійних внесків> працівників обласної та окружних прокуратур Вінниччини, - інформує пресслужба Вінницької обласної прокуратури.","Запит військовослужбовців виконано коштом <благодійних внесків> працівників обласної та окружних прокуратур Вінниччини, - інформує пресслужба Вінницької обласної прокуратури.",благодійний внесок,0,politics,sometimes_euph,corruption,благодійних внесків,voluntary donation,,,,,,,pawuk,13
172,"Земля ожила, й народилася віра в те, що все буде добре. Так, спогади та флешбеки на місці, ще було видно сліди руйнувань, але отут клейонкою накрив, там <підмазав>… і черешня розцвіла.","Земля ожила, й народилася віра в те, що все буде добре. Так, спогади та флешбеки на місці, ще було видно сліди руйнувань, але отут клейонкою накрив, там <підмазав>… і черешня розцвіла.",підмазати,0,politics,sometimes_euph,corruption,підмазав,plaster,,,,,,,pawuk,6
173,"Зірки кажуть, що представникам даного знака Зодіаку дістануться <легкі гроші>.","Зірки кажуть, що представникам даного знака Зодіаку дістануться <легкі гроші>.",легкі гроші,0,politics,sometimes_euph,corruption,легкі гроші,easy money,,,,,,,Grac v. 18,6
182,"І війна є саме тим моментом, коли треба зламати хребет саме цій олігархічно-клановій системі, зробивши доступними <соціальний ліфт>, конкуренцію в суспільстві.","І війна є саме тим моментом, коли треба зламати хребет саме цій олігархічно-клановій системі, зробивши доступними <соціальний ліфт>, конкуренцію в суспільстві.",соціальний ліфт,0,politics,sometimes_euph,corruption,соціальний ліфт,fair promotion mechanism,,,,,,,pawuk,8
190,"ІТ-бізнес так динамічно розвивався в нашій країні, що в якийсь момент "" айтішником "" стало ставати легко, і при цьому є високий дохід. Ось цей принцип - <легкі гроші> - завжди привертав увагу правоохоронців.","ІТ-бізнес так динамічно розвивався в нашій країні, що в якийсь момент "" айтішником "" стало ставати легко, і при цьому є високий дохід. Ось цей принцип - <легкі гроші> - завжди привертав увагу правоохоронців.",легкі гроші,0,politics,sometimes_euph,corruption,легкі гроші,easy money,,,,,,,Grac v. 18,6
191,"Канцлер Німеччини Ангела Меркель уклала угоди з 14 країнами про <прискорення процедури> повернення мігрантів, які намагаються в'їхати до Німеччини.","Канцлер Німеччини Ангела Меркель уклала угоди з 14 країнами про <прискорення процедури> повернення мігрантів, які намагаються в'їхати до Німеччини.",прискорення процедури,0,politics,sometimes_euph,corruption,прискорення процедури,legal facilitation,,,,,,,Grac v.18,8
194,"Китайські громадяни співчувають українцям на рівні приватних взаємовідносин, допомагають <благодійними внесками> та організацією культурних заходів з метою підтримки України.","Китайські громадяни співчувають українцям на рівні приватних взаємовідносин, допомагають <благодійними внесками> та організацією культурних заходів з метою підтримки України.",благодійний внесок,0,politics,sometimes_euph,corruption,благодійними внесками,voluntary donation,,,,,,,Grac v.18,13
197,"Кожен, хто долучиться до ярмарку, зробить свій <благодійний внесок> у спільну справу: всі виручені кошти передадуть на лікування трьом рівненським школярам.","Кожен, хто долучиться до ярмарку, зробить свій <благодійний внесок> у спільну справу: всі виручені кошти передадуть на лікування трьом рівненським школярам.",благодійний внесок,0,politics,sometimes_euph,corruption,благодійний внесок,voluntary donation,,,,,,,Grac v.18,13
199,"Коли ми, як фани спілкуємось, мені почалось здаватись, що німецькі виконавці <мають знайомства> в музичних та театральних колах, в Україні багато виконавців навіть на німецькій мові співають,","Коли ми, як фани спілкуємось, мені почалось здаватись, що німецькі виконавці <мають знайомства> в музичних та театральних колах, в Україні багато виконавців навіть на німецькій мові співають,",мати знайомство,0,politics,sometimes_euph,corruption,мають знайомства,have acquaintances,,,,,,,pawuk,7
201,Комісія закликає національні органи влади застосувати максимальну гнучкість і забезпечити достатній персонал для<прискорення процедур> у пунктах пропуску.,Комісія закликає національні органи влади застосувати максимальну гнучкість і забезпечити достатній персонал для<прискорення процедур> у пунктах пропуску.,прискорення процедури,0,politics,sometimes_euph,corruption,прискорення процедур,legal facilitation,,,,,,,Grac v.18,8
207,"Кошовий уже <мав знайомства> серед студентів, котрі студіювали право.","Кошовий уже <мав знайомства> серед студентів, котрі студіювали право.",мати знайомство,0,politics,sometimes_euph,corruption,мав знайомства,have acquaintances,,,,,,,Grac v.18,7
212,"Лише патріотизму навряд чи вистачить, якщо військова служба не продемонструє реальної здатності служити <соціальним ліфтом>.","Лише патріотизму навряд чи вистачить, якщо військова служба не продемонструє реальної здатності служити <соціальним ліфтом>.",соціальний ліфт,0,politics,sometimes_euph,corruption,соціальним ліфтом,fair promotion mechanism,,,,,,,pawuk,8
216,Маргарита (ім’я змінено) звернулась до Південного міжрегіонального управління Державної служби з питань праці за <допомогою у вирішенні питання> виплати заборгованої заробітної плати при звільненні.,Маргарита (ім’я змінено) звернулась до Південного міжрегіонального управління Державної служби з питань праці за <допомогою у вирішенні питання> виплати заборгованої заробітної плати при звільненні.,допомога  у вирішенні питання,0,politics,sometimes_euph,corruption,допомогою у вирішенні питання,assistance in resolving the issue,,,,,,,pawuk,8
219,"Ми впевнені, що <послугу оцінять> наші абоненти, тому плануємо розширити можливості надання сервісних послуг і консультацій щодо тарифів","Ми впевнені, що <послугу оцінять> наші абоненти, тому плануємо розширити можливості надання сервісних послуг і консультацій щодо тарифів",послугу оцінити,0,politics,sometimes_euph,corruption,послугу оцінять,recognize the good qualities,,,,,,,Grac v.18,6
221,"Ми змусимо працювати <соціальні ліфти> , і нарешті гідні люди обійматимуть високі державні посади","Ми змусимо працювати <соціальні ліфти> , і нарешті гідні люди обійматимуть високі державні посади",соціальний ліфт,0,politics,sometimes_euph,corruption,соціальні ліфти,fair promotion mechanism,,,,,,,Grac v.18,8
224,Ми справді виявили порушення в частині отримання <благодійних внесків> від батьків учнів та недотримання умови їх добровільності.,Ми справді виявили порушення в частині отримання <благодійних внесків> від батьків учнів та недотримання умови їх добровільності.,благодійний внесок,0,politics,sometimes_euph,corruption,благодійних внесків,voluntary donation,,,,,,,Grac v.18,13
232,На даний час до працівників установи за <допомогою у вирішенні питання> пенсійного забезпечення звернулося вісімнадцять пенсіонерів.,На даний час до працівників установи за <допомогою у вирішенні питання> пенсійного забезпечення звернулося вісімнадцять пенсіонерів.,допомога  у вирішенні питання,0,politics,sometimes_euph,corruption,допомогою у вирішенні питання,assistance in resolving the issue,,,,,,,Grac v.18,8
240,"На навчанні були присутні також мешканці, які просять у депутатів від«Українського об'єднання патріотів - УКРОП» <допомоги у вирішенні питань> комунального значення.","На навчанні були присутні також мешканці, які просять у депутатів від«Українського об'єднання патріотів - УКРОП» <допомоги у вирішенні питань> комунального значення.",допомога  у вирішенні питання,0,politics,sometimes_euph,corruption,допомоги у вирішенні питань,assistance in resolving the issue,,,,,,,Grac v.18,8
242,"На протиаварійні роботи витратили 21,5 млн гривень, вартість усіх робіт покрили завдяки <благодійним внескам> , у тому числі від великих бізнесів.","На протиаварійні роботи витратили 21,5 млн гривень, вартість усіх робіт покрили завдяки <благодійним внескам> , у тому числі від великих бізнесів.",благодійний внесок,0,politics,sometimes_euph,corruption,благодійним внескам,voluntary donation,,,,,,,Grac v.18,13
249,"Нагадаємо, під час акції “<Дайте на лапу> ! ”, організованої фондом і львівськими журналістами, вдалося зібрати 1344 грн. на реставрацію поламаної лапи собаки Діани.","Нагадаємо, під час акції “<Дайте на лапу> ! ”, організованої фондом і львівськими журналістами, вдалося зібрати 1344 грн. на реставрацію поламаної лапи собаки Діани.",дати на лапу,0,politics,sometimes_euph,corruption,дайте на лапу,donate money,,,,,,,Grac v.18,1
277,"Окремо хочу сказати про ситуацію на перехресті вулиць Нагірної та Єднання. Там утворюється провал. Я бачила, що ви там його підмазали, підлатали трохи, але ви <підмазали> саму дірку, але там почалося просідання асфальту, воно йде воронкою.","Окремо хочу сказати про ситуацію на перехресті вулиць Нагірної та Єднання. Там утворюється провал. Я бачила, що ви там його підмазали, підлатали трохи, але ви <підмазали> саму дірку, але там почалося просідання асфальту, воно йде воронкою.",підмазати,0,politics,sometimes_euph,corruption,підмазали,fill,,,,,,,pawuk,6
285,"Переважно люди, отримавши шалені <легкі гроші> , кидають роботу і насолоджуються, як уміють, життям.","Переважно люди, отримавши шалені <легкі гроші> , кидають роботу і насолоджуються, як уміють, життям.",легкі гроші,0,politics,sometimes_euph,corruption,легкі гроші,easy money,,,,,,,Grac v. 18,6
287,"Перераховувати <благодійні внески>, треба вказавши цільове призначення, наприклад «Кошти на ремонт підлоги школи №...» тощо.","Перераховувати <благодійні внески>, треба вказавши цільове призначення, наприклад «Кошти на ремонт підлоги школи №...» тощо.",благодійний внесок,0,politics,sometimes_euph,corruption,благодійні внески,voluntary donation,,,,,,,https://legalaid.wiki/index.php/%D0%97%D0%B0%D0%BA%D0%BE%D0%BD%D0%BD%D1%96%D1%81%D1%82%D1%8C_%D0%B1%D0%B0%D1%82%D1%8C%D0%BA%D1%96%D0%B2%D1%81%D1%8C%D0%BA%D0%B8%D1%85_%D0%B1%D0%BB%D0%B0%D0%B3%D0%BE%D0%B4%D1%96%D0%B9%D0%BD%D0%B8%D1%85_(%D0%B4%D0%BE%D0%B1%D1%80%D0%BE%D0%B2%D1%96%D0%BB%D1%8C%D0%BD%D0%B8%D1%85)_%D0%B2%D0%BD%D0%B5%D1%81%D0%BA%D1%96%D0%B2_%D1%83_%D0%BD%D0%B0%D0%B2%D1%87%D0%B0%D0%BB%D1%8C%D0%BD%D0%B8%D1%85_%D0%B7%D0%B0%D0%BA%D0%BB%D0%B0%D0%B4%D0%B0%D1%85,13
290,"Під час їхньої зустрічі йшлося про <прискорення процедур> , пов'язаних із наданням макрофінансової допомоги Україні.","Під час їхньої зустрічі йшлося про <прискорення процедур> , пов'язаних із наданням макрофінансової допомоги Україні.",прискорення процедури,0,politics,sometimes_euph,corruption,прискорення процедур,legal facilitation,,,,,,,Grac v.18,8
295,"Після цих слів до нас <занесли коньяк>:«Це вам на зберігання, щоб нас не«попалили», – повідомили. Ми були щасливі, адже нам довіряли і ми таким чином долучилися до справжнього дорослого життя!","Після цих слів до нас <занесли коньяк>:«Це вам на зберігання, щоб нас не«попалили», – повідомили. Ми були щасливі, адже нам довіряли і ми таким чином долучилися до справжнього дорослого життя!",занести коньяк,0,politics,sometimes_euph,corruption,занесли коньяк,bring cognac,,,,,,,Grac v.18,1
