,ID,TEXT,PET,LABEL,EUPH_STATUS
3085,3085,"""Матеріал: всесезонні ковдри виготовлені з різноманітних матеріалів, включаючи <бавовну>, вовну та мікрофібру. Перед вибором обов’язково дізнайтесь про склад ковдри та оберіть ту яка підходить вам найкраще..""",бавовна,0,sometimes_euph
4844,4844,"До поліції звернувся 53-річний вінничанин та повідомив, що на вулиці Тимірязєва у нього поцупили <мопед> Yamaha. Чоловік залишив транспорт ненадовго, поки ходив у справах.",мопед,0,sometimes_euph
6126,6126,"Пролітаючи над Угорщиною та Румунією, літак супроводжували винищувачі до <приземлення> в Болгарії. Повітряна навігація повідомила, що екіпаж не",приземлити,0,sometimes_euph
6929,6929,"Чому? Тому що це не війна. Це ""спеціальна воєнна операція"". Значить вони можуть цим скористатись"", –",cпеціальна воєнна операція,1,always_euph
3900,3900,"""Щоліта старовинний амфітеатр перетворюється на майданчик для концертів, <дискотек> ..."""".",дискотека,0,sometimes_euph
3887,3887,"""Ще б ту залізну бабу в Києві, яка має <на щиті> глобус СРСР...""",щит,0,sometimes_euph
3789,3789,"""Хочу ще раз наголосити, що враховуючи те, яка концентрація житлової забудови, українська ""<бавовна>"" б'є дуже ювелірно та виключно по об'єктах окупантів.",бавовна,1,sometimes_euph
5086,5086,звернулася до уряду з проханням відновити квоти на імпорт <м'яса> птиці.,м'ясо,0,sometimes_euph
4589,4589,Відправляти їх <на концерт до Кобзона>!,На концерт до Кобзона,1,always_euph
2005,2005,"Це був 20-річний чоловік, який любив <«залити за комір»>.",залити за комір,1,sometimes_euph
2841,2841,"""Для творців бренду дуже важлива якість, тож обирають лише найкраще. Таку тканину знайшли в Туреччині. Це 100% <бавовна>. Однак є й тканина, де в складі 70% – бавовна, 30% – еластан.""",бавовна,0,sometimes_euph
3880,3880,"""Шосте покоління ппо росіянців вже буде збивати планети в ближньому космосі! А сьоме мабуть вже й галактики! Включіть фюреру <зоряні війни> нехай гляне чим все закінчилось!""",зоряні війни,0,sometimes_euph
2596,2596,"""Він бідкається, що їхнє розташування накрила ""<бавовна>"" від ЗСУ: внаслідок прильоту було зруйновано пункт зв’язку й кімнату для нарад, які загарбники облаштували в підвалі будівлі.""",бавовна,1,sometimes_euph
1974,1974,"Отож тележурналісти під час підготовки сюжетів до ефіру змушені були на ці депутатські матюки накладати нейтралізуючі сигнали. Не розмова політика, а суцільне «<пі-пі>».",пі-пі,0,sometimes_euph
2105,2105,"Пролетаріат не залякаєш, ми вже знайшли кінці в держдепартаменті, зараз <дамо на лапу , і до виборів його випустять.",дати на лапу,1,sometimes_euph
4064,4064,"@nathnenna_ Дякую 🫂 Це <мопеди>, вночі їх чутно дуже здалеку, купа часу пройти до калідора",мопед,1,sometimes_euph
6149,6149,"Птахи <прилітають> великими зграями практично одночасно – прикмета до того, що весна буде теплою.",прилітати,0,sometimes_euph
5826,5826,"Окупанти наступають на Бахмутському та Лиманському напрямках, а ЗСУ <приземлили дві> ""пташки"" ворога.",приземлити,1,sometimes_euph
3757,3757,"""Хай <бавовна> там насівається, цвіте та хлопає!""",бавовна,1,sometimes_euph
2332,2332,"""В цих дитсадочках є сучасні та повноцінні бомбосховища. Ще до 24 лютого ми проводили в них навчання, як оперативно одягатися і йти у бомбосховище. Тому що це безпека. Тут алгоритм дій <відпрацьовано>, не повинно бути жодних проблем"", — сказав Олександр Симчишин.",відпрацювати,0,sometimes_euph
594,594,"Відома голівудська акторка Анджеліна Джолі, таємно продала частку <сімейного бізнесу> з виноробства російському олігарху.",сімейний бізнес,0,sometimes_euph
5058,5058,"Залізниця, якою окупанти здійснювали постачання для свого угруповання у Херсонській та Запорізькій областях, ""<втомилася>"" вчора",втомитися,1,sometimes_euph
2166,2166,"Своїм жертвам чоловік <обіцяв золоті гори>: робота в барі біля моря в Іспанії, хорошу зарплату з чайовими, 5 - денний робочий тиждень, соціальні гарантії "", - йдеться у заяві поліції.",обіцяти золоті гори,1,always_euph
6251,6251,"Росіяни використовують цей аеродром для завдання масованих ударів по території України. Місцева влада стверджує, що вибух стався через роботу ППО. 01:13 Під час тривоги у Києві, Дніпрі та Полтаві неодноразово <відпрацювала> ППО. Хіба на Київщині ЗСУ збили понад 20 повітряних цілей. 00:36 Близько 23:30 1 січня у багатьох областях оголосили повітряну тривогу",Відпрацювати,1,sometimes_euph
6618,6618,"у Києві ""<втомилися>"" два ключових мости: Патона і Метро. Їхні конструкції перегнили та заіржавіли.",втомитися,1,sometimes_euph
4500,4500,"В результаті бойової роботи знищено 10 шахедів. Їх <приземлили> у межах Миколаївської, Херсонської та Харківської областей.

",приземлити,1,sometimes_euph
5656,5656,"Наші бійці йдуть на штурм через лісопосадки, які забруднені ворогом - і покинутими <""двохсотими"">, і вибухівкою.",двохсотий,1,sometimes_euph
3990,3990,"""💥💥💥В Токмаку у окупантів вже другий день ""<дискотека> "". """,дискотека,1,sometimes_euph
6408,6408,"Та однозначно, і молодих шкода, і всіх людей шкода. І я зовсім не за те, щоб молодих кидали <на нуль>, хіба що людина пройшла серйозне навчання, відчуває себе готовою і має бажання, як боєць з позивним ""Грім"".",на нуль,1,sometimes_euph
4432,4432,"Бо статистика ведеться з пораненими <трьохсотими>, які вже не можуть виконувати бойові задачі.",трьохсотий,1,sometimes_euph
6790,6790,"Холодає, зробила синичкам та іншим	<пташкам> годівничку.",пташка,0,sometimes_euph
435,435,Батькові було байдуже — йому залишалося <недовго топтати ряст>.,недовго топтати ряст,1,always_euph
5662,5662,"Наші пташки вже теж у небі, охороняють.",пташка,1,sometimes_euph
717,717,"Він також ефективний за порушень роботи печінки і жовчовивідних шляхів, набряків, закрепів, <метеоризму>, сечокам’яної хвороби",метеоризм,1,always_euph
6010,6010,"Поки що Путін множить <на нуль> ідею президента США про припинення вогню"", — йдеться у повідомленні.",на нуль,0,sometimes_euph
2021,2021,"""Більше дронів - більше <бавовни>!!!""",бавовна,1,sometimes_euph
4870,4870,"Дозвольте сайту відправляти вам актуальну інформацію. Сьогодні, 2 січня, під час масованої атаки росіян по Україні на Кіровоградщині <відпрацювала> ППО. Про це повідомив начальник OВА Андрій Райкович, передає Точка доступу. Начальник OВА розповів, що в Кропивницькому районі уламки ракети зачепили подвір’я одного з домоволодінь.",Відпрацювати,0,sometimes_euph
4401,4401,"Бійці розповідають, що частіше доводиться <приземляти> російські дрони.",приземлити,1,sometimes_euph
2928,2928,"""Завершився перший день занять святковою дитячою <дискотекою> , майстер-класом з хіп-хопу...""",дискотека,0,sometimes_euph
1394,1394,"Окрім того, час від часу новий вчитель помітно <«заливав за комір»>.",залити за комір,1,sometimes_euph
4437,4437,Боже там самі мерчики. Їм давно <На концерт до Кобзона> пора. І вони готові весь світ за собою потягнути.,На концерт до Кобзона,1,always_euph
5970,5970,Пішов <на концерт до Кобзона>. туди йому падлюці і дорога.,На концерт до Кобзона,1,always_euph
1626,1626,"Таким чином, комплексні задачі не потребують <особливого підходу> в алгоритмі даної методики, оскільки частини комплексного завдання, що являють собою звичайні задачі, будуть нею враховані.",особливий підхід,0,sometimes_euph
3150,3150,"""На YouTube-каналі ТСН можна переглянути за цим посиланням відео: Як ""<бавовна>"" вплине та флот та авіацію Росії?""",бавовна,1,sometimes_euph
5123,5123,Зосередьтеся на своїх <цілях> та використовуйте енергію для реалізації задуманого.,ціль,0,sometimes_euph
6989,6989,"Щонайменше 10 окупантів вже ніколи не наступатимуть, ще два десятки стали <""трьохсотими"">, решта здійснила від'ємний наступ.",трьохсотий,1,sometimes_euph
6471,6471,"Також у МВС нагадують, що наприкінці 2023 року в застосунку Дія запустили послугу з перереєстрації транспортних засобів. Через мобільний застосунок громадяни почали продавати та купувати легкові авто, мотоцикли та <мопеди>. З початку запуску, з 20 грудня по 31 грудня, через Дію продали 1504 транспортні засоби.",мопед,0,sometimes_euph
5857,5857,"Ось зараз, ще хвилину, і почесна варта на плечах, як <на щиті>, заносить закриту домовину на рідний двір.",щит,1,sometimes_euph
4015,4015,"#ЗСУ за 28-29 листопада <""затрьохсотили""> близько 100 рашистів у Запорізькій області – Генштаб ⏯",трьохсотий,1,sometimes_euph
3700,3700,"""У ніч на 16 січня у російський Воронеж навідалась гучна <бавовна>. Воронежці масово повідомляли про звуки, схожі на вибухи.""",бавовна,1,sometimes_euph
6335,6335,спазмалгон <втомився> мене рятувати,втомитися,1,sometimes_euph
2367,2367,"Там відсутні належні комфортні умови, нема можливості помитися, відправити <фізіологічні потреби>, нема можливості зберегти приватність, бо в одній кімнаті стоїть 3-5-8 ліжок.",фізіологічні потреби,1,always_euph
25,25,"— Бо ОБСЄ — структура <з обмеженими можливостями> , якщо казати про вагу та вплив.",з обмеженими можливостями,0,sometimes_euph
2101,2101,полонені з бараку полагоджують свої <фізіологічні потреби> вночі в казанки замість у бочку,фізіологічні потреби,1,always_euph
3936,3936,"""Як зазначив міський голова, в загарбників загалом цей день видався якимсь невдалим: спершу ""<бавовна>"" була вдень в Бердянську, а потім – ввечері""",бавовна,1,sometimes_euph
5473,5473,"Морські дрони Служби безпеки України Sea Baby, на які українці збирали кошти через платформу United24, відтепер оснащені системами ""Град"" і вже активно <""мінусують""> російських військових на Кінбурнській косі.",мінусувати,1,sometimes_euph
911,911,"""..дати дозвіл на проведення літературних вечорів, міні <дискотек>..""",дискотека,0,sometimes_euph
2010,2010,"Правоохоронці встановили, що службова особа територіального центру комплектування та соціальної підтримки вимагає з жителя Подільського району <винагороду за сприяння> у видачі довідки про бронювання від мобілізації.",винагорода за сприяння,1,sometimes_euph
6477,6477,"Такої кількості <""двохсотих""> у росіян не було з часів закінчення Другої світової війни.",двохсотий,1,sometimes_euph
88,88,"<Пі-пі>, хі-хі! — пискливо засміявся Крилатий.",пі-пі,0,sometimes_euph
6334,6334,Сосальдо підтвердив що Стремноусів всьо. Пішов <на концерт до Кобзона>. P.S. Відкорковую шампанське),На концерт до Кобзона,1,always_euph
769,769,"З самого ранку чоловік <приклався до чарки> та сидів сам пиячив аж до вечора: спочатку пив вино, а потім перейшов на горілку.",прикладатися до чарки,1,always_euph
2655,2655,Широко практикується засіб <дезінформування> людей шляхом використання механізму поширення чуток.,дезінформування,1,always_euph
4742,4742,Головна <ціль> проєкту – надихати та надавати необхідні знання людям будь-якого віку,ціль,0,sometimes_euph
3802,3802,"""Це ж вже було!! <Бавовна> вже трохи набридла- треба щоб ВОВНА була! Вона гучніше гупає🤔 Коли вже «вовна» ленд-лізом прийде.""",бавовна,1,sometimes_euph
4899,4899,"Думаєте тут, у країнах ЄС цього не помічатють? Мушу вас «приземлити» - бачать, знають, іх це збиває з пантелику",приземлити,1,sometimes_euph
3390,3390,"""Потужна ""<бавовна>"" у Росії ‒ гримнуло на заводі з виробництва вибухівки""",бавовна,1,sometimes_euph
2755,2755,"Як можна виміряти цю "" більшість"", яка пригнічує волю окремих індивідів і змушує їх кидати недопалки повз урни та <справляти потребу> в під'їздах?",справляти потребу,1,always_euph
2762,2762,"Як тільки Ірина Степанівна побажала <припудрити носик> , а Петро Петрович зголосився показати їй, де там розташований пристрій«вимикач»",припудрити носик,1,sometimes_euph
2634,2634,"Чи той почув їх, чи просто вночі <йшов до вітру>, ми не дізнаємося.",ходити/піти/йти до вітру,1,sometimes_euph
6843,6843,це провокація і що людей просто забирають на гарматне <м'ясо>.,м'ясо,1,sometimes_euph
1061,1061,"""<Бавовна> завітала до т.о. Севастополя: місцеві мешканці повідомляють про звуки вибухів в декількох районах""",бавовна,1,sometimes_euph
4781,4781,Десантники <приземлили>  штурмовик Су-25 та безпілотник ворога,приземлити,1,sometimes_euph
5287,5287,"Краще би вони скоріше <На концерт до Кобзона> попали ,бо що змінить камера-вона не поверне тисячі вбитих украінців і не буде тією стратою ,яку заслужили ці два ката.",На концерт до Кобзона,1,always_euph
6722,6722,"Українські бійці зі стрілецької зброї <""приземлили""> російські дрон-камікадзе та розвідувальний БПЛА.",приземлити,1,sometimes_euph
4837,4837,"До кінця війни хороший росіянин - кожен двохсотий, чи <трьохсотий> - бажано ""самовар"" - для наглядності.",трьохсотий,1,sometimes_euph
6386,6386,Сьогодні - це відміняти паради і з жахом чекати українських <прильотів> по Москві.,приліт,1,sometimes_euph
2201,2201,"Слідчий мені сказав, що це <дезінформація>, що ніхто про мене даних не збирає.",дезінформація,1,sometimes_euph
882,882,"Дуже хотілось би, що інструмент цивільної конфіскації, який активно просував ЦПК, частіше застосовували проти <нечистих на руку> посадовців.",нечистий на руку,1,always_euph
7022,7022,"Я просто полохлива, наче та <пташка>, а слово звучить грізно, як набат",пташка,0,sometimes_euph
3115,3115,"""Міні-<бавовна> у Криму. Я бачу ситуацію так: Один з куплених росіянами до свята БПЛА вийшов зі строю та впав прямо на кількох їх воєнних.""",бавовна,1,sometimes_euph
5359,5359,"Маріупольська <""Пташка"">: дівчина, яка співає у підвалах ""Азовсталі"", – із Тернопільщини.

",пташка,0,sometimes_euph
166,166,"Друга половина для 21-річної Майлі - її музика Окрім музики, поділилася зірка любить курити травичку і бути <під кайфом> .",під кайфом,1,sometimes_euph
4394,4394,БЕРЕЖІТЬ СЕБЕ РІДНЕНЬКІ НАШІ НЕБЕСНІ <ПТАШКИ>.,пташка,0,sometimes_euph
4970,4970,За даними моніторингових каналів в місті <приліт> балістики.,приліт,1,sometimes_euph
5312,5312,"Лиш за минулу добу лави <""двохсотих""> поповнили 650 бійців країни-агресорки.",двохсотий,1,sometimes_euph
3004,3004,"""І ще один важливий факт для тих, хто виступає за відповідальне споживання та турботу про навколишнє середовище: одяг з колекції вироблений із вмістом переробленого поліестеру та натуральної <бавовни> .""",бавовна,0,sometimes_euph
4411,4411,"Більшість безпілотників або збили, або <приземлили> під дією радіоелектронної боротьби, водночас три дрони знищити не вдалося.

",приземлити,1,sometimes_euph
3359,3359,"""Після того, як насіння висаджено, потрібно його поливати та постійно підтримувати у вологому стані. Крім того, у міру зростання <бавовна> постійно має отримувати прямі сонячні промені. Коли настає літо і температура зростає, рослина починає цвісти.""",бавовна,0,sometimes_euph
4107,4107,"<""Приземлити""> штурмовик вдалося переносним зенітно-ракетним комплексом ""Ігла"".",приземлити,1,sometimes_euph
458,458,Вже місяць як удвічі зросли штрафи за водіння <під мухою>.,під мухою,1,always_euph
6242,6242,Росія більше не має жодних військових <цілей>. Вона намагається вбити якомога більше цивільних і зруйнувати якнайбільше цивільних об’єктів,ціль,0,sometimes_euph
568,568,"В українських ЗМІ має бути ціль об'єднати людей, підняти національну свідомість, людську гідність, патріотизм, бажання захистити свою Батьківщину. А для цього мало просто бездумно лити в їхні вуха інформацію  (часто неперевірену <напівправду>),  ще й заражену ворожою пропагандою.",напівправда /півправда,1,sometimes_euph
6777,6777,"Харчування <""на нулі"">. Розмова про те, як покращити харчування наших бійців",на нулі /на нуль,1,sometimes_euph
1944,1944,Пора ліквідувати кримінальну верхівку яка займається <темними справами> в енергетиці!!!,темна справа,1,sometimes_euph
5556,5556,"На росії в іркутській області <втомився> міст і впав, щоб відпочити",втомитися,1,sometimes_euph
2232,2232,"""В Міністерстві оборони розповіли деталі потужної ""<бавовни>"" в тимчасово окупованій Макіївці на Донеччині, де ЗСУ завдали удару по складу боєприпасів росіян""",бавовна,1,sometimes_euph
4827,4827,До адвоката піти здирають шкіру аж з <м'ясом> до кісток.,м'ясо,0,sometimes_euph
2301,2301,"Сьогодні в Україні мобільний зв'язок і взагалі зв'язок перебуває в занепаді. Воно й не дивно, тому що той, хто отримує багато <легких грошей> , зовсім не зацікавлений розвивати галузь так, щоб надавати якісні послуги.",легкі гроші,0,sometimes_euph
5806,5806,"Одне з них — скоріше зібрати на <пташку> полтавцям, які виконують бойові завдання на Курщині.",пташка,1,sometimes_euph
1955,1955,"""Батькам Леране довелося з юних років разом уже працювати на полях та збирати <бавовну>, а це важка праця, а надто коли вона в голоді та холоді.""",бавовна,0,sometimes_euph
6019,6019,Попав <На концерт до Кобзона>. Земля йому железобетоном.,На концерт до Кобзона,1,always_euph
4758,4758,дай відповідь а ти уже получив за асвабадітєля раба який поїхав <На концерт до Кобзона> дрова лід картоплю цибулю пільмєні ковбасу білети до цирку туалет подарували і полотенце чи тобі камінь подарували із надписом,На концерт до Кобзона,1,always_euph
3704,3704,"""У підсумку: полковник Дем’яненко розстріляний впритул і загинув, поліцейські поранені внаслідок <дружнього вогню>, службова автівка поліції розстріляна самими ж співробітниками поліції""",дружній вогонь,1,always_euph
5976,5976,"По дорозі зустрівся один вцілілий «орк», який не бачив нашу «пташку». Його <""затрьохсотили""> ще одним скидом гранати та продовжили виводити нашого побратима до підрозділу.",трьохсотий,1,sometimes_euph
4068,4068,"@Rauf1615 це мало б сенс влітку 2022 але не має сенсу зараз, коли більша частина радянської арти <відпрацювала> свій ресурс і ЗСУ переходить на натівські калібри 155 і 105 мм",Відпрацювати,0,sometimes_euph
5396,5396,"Ми не ідеальні. Хоча повторюся, мій підрозділ перебуває <на нулі> і не п'є, наркомани є.

",нуль,1,sometimes_euph
5879,5879,"Пам'ятаю історії, коли люди виїжджали навіть на велосипедах, всією родиною на одному <мопеді>, на човнах – використовували всі можливості.",мопед,0,sometimes_euph
4501,4501,"В результаті, що ми маємо. Всі, хто працюють ""в білу"" - <мінусуємо> 5% ЗП на загальний котел бюджету, а не виключно ЗСУ.",мінусувати,0,sometimes_euph
4862,4862,добре мати політичну <ціль> – горизонт – щоб дати політичний поштовх процесу.,ціль,0,sometimes_euph
5936,5936,Підприємство спеціалізується на переробці <м'яса> телятини та яловичини,м'ясо,0,sometimes_euph
4433,4433,"Бо тут тільки один вихід – або двохсотий, або <трьохсотий>.",трьохсотий,1,sometimes_euph
4276,4276,"А значить багатьом настав час зрозуміти який рівень наших воїнів, які яскраво <двохсотять> чемпіонів світу з танкового біатлону або командирів елітних десантних підрозділів РФ.",двохсотий,1,sometimes_euph
4163,4163,"«Вчора, на <трьохсотий> день від початку російської агресії проти України, Володимир Зеленський уперше залишив свою країну.",трьохсотий,0,sometimes_euph
760,760,"Вони люблять придумувати різні історії, <прикрашати дійсність>.",прикрашати дійсність (prykrashaty diysnis't),1,sometimes_euph
6792,6792,"Хороші росіяни є, їх ще <двохсотими> називають.",двохсотий,1,sometimes_euph
1950,1950,"Утім, неприйняття мирської суєти не зашкодило Тарасу приїхати на білому лімузині і <прийняти на груди> іменну зірку з золота"", - пише газета.",прийняти на груди,0,sometimes_euph
2784,2784,"""Всесвітній день бавовни. Це свято започаткувала ООН, щоб вирізнити бавовну як унікальне волокно. Та для українців <бавовна> має особливе значення – багато хто називає її національним мемом.""",бавовна,0,sometimes_euph
1978,1978,"Що дивно, інтимофобія може розвинутися ще в дитинстві, якщо дитину виховували <емоційно нестабільні> батьки.",емоційно нестабільний,1,sometimes_euph
1941,1941,"Ці дрібні тварини менше <схильні до хвороб> ніг, аніж крупні, дуже неперебірливі в їжі й витривалі до важких умов.",схильний до хвороб,1,sometimes_euph
194,194,А <підмазати> викладача в університеті — дрібнички.,підмазати,1,sometimes_euph
3992,3992,"""💪Генштаб підтвердив ефективність вечірніх <дискотек>, що Сили спротиву і ЗСУ влаштовують... """,дискотека,1,sometimes_euph
2160,2160,"Про це Ігор А. дізнався, коли <пішов в туалет «по-маленькому>»...",піти/ходити (в туалет) по-маленькому,1,always_euph
615,615,"Всупереч думці, що ""це не про мене"", ""зі мною такого не станеться"", ""це їхній вибір"", <проблема з алкоголем> і наркотиками може торкнутися кожного і виникнути в будь-якій сім'ї.",проблема з алкоголем,1,sometimes_euph
5944,5944,Пілотам вдалося <приземлити> літак. Наразі постраждалих не зафіксовано.,приземлити,0,sometimes_euph
629,629,"""...єдиний народ з яким не воювали за всю історію... На тобі — <дискотека>! 🤩🥲""",дискотека,1,sometimes_euph
6460,6460,"Також на лінії фронту Володимир вперше відчув, що таке <приліт> на передовій.",приліт,1,sometimes_euph
4849,4849,"До речі, коли цю пікчу кидали в коменти на Думській — її завжди спочатку <мінусили> до рейтингу в -50, а потім видаляли і автора комента блокували)",мінусувати,0,sometimes_euph
6898,6898,"Чекаємо, коли незаконна споруда <втомиться>!",втомитися,1,sometimes_euph
2931,2931,"""Завод ""Мотор Січ"" міг одним махом <приземлити>   всю військову авіацію РФ.",приземлити,1,sometimes_euph
1322,1322,"Ніхто тобі не допоможе, якщо <“рідкої валюти”> не буде.",рідка валюта,1,sometimes_euph
3301,3301,"""Окупанти хотіли святкувати 9 Травня і отримали такий собі подарунок, але замість салюту - українську ""<бавовну>"". Вона влучила в скупчення, де окупанти тримають техніку.""",бавовна,1,sometimes_euph
2200,2200,Регулярно змінюйте тампони чи гігієнічні прокладки у <критичні дні>.,критичні дні,1,sometimes_euph
2576,2576,"""Війна в Україні спричинить ""найбільший товарний шок"" з 1970-х років, попереджає Світовий банк. У своєму новому звіті він прогнозує, що створені конфліктом збої сприятимуть величезному

 зростанню цін на товари - від природного газу до пшениці та <бавовни>.""",бавовна,0,sometimes_euph
5893,5893,перед кремлівськими лідерами постає питання: у чому ж таки <ціль> «спецоперації».,ціль,0,sometimes_euph
1000,1000,"За даними ЗМІ та американських чиновників, Кремль і російська військова розвідка займалися, зокрема, кампанією з <дезінформації> проти кандидатки від Демократичної партії Камали Гарріс і Тіма Волза, яких вона хоче зробити віцепрезидентом. (",дезінформація,1,sometimes_euph
6084,6084,"Прикордонні громади Чернігівщини, що розташовуються поблизу ворожого кордону, живуть своїм особливим життям. Бо не знаєш, куди і що може  <прилетіти>.",прилетіти,1,sometimes_euph
4112,4112,"<Батальон Монако> виключно з добровільців, що віддають своє життя в інтересах корпорацій, що зареєстровані шахраями в інтересах метрополій",Батальон Монако,1,always_euph
639,639,"Глава великого модельного агентстваSilentModels в Парижі Вінсент Пітер говорить, що поки до них не надходило запитів на моделей <з особливостями розвитку> .",з особливостями розвитку,1,sometimes_euph
5400,5400,ми почали!». В новій картині Путіна «спеціальна воєнна операція» 2022 року – це щось типу російського контрнаступу,спеціальна воєнна операція,1,always_euph
1659,1659,"Також важливим в Чехії є: сприяння ініціативному залученню дітей і молоді в процеси прийняття рішень і в здійснення впливу на соціальне і демократичне життя ; створення сприятливих умов для волонтерства молодих людей, включаючи оцінки та визнання добровольчої діяльності ; полегшення інтеграції дітей та молодих людей <з обмеженими можливостями> ; мотивування дітей і молоді до життя, заснований на принципах сталого розвитку і підвищення їх екологічної грамотності ; стимулювання розвитку компетенцій в дітей та молодих людей для безпечного та творчого використання засобів масової інформації ; полегшення дітям та молодим людям доступу до культури, мистецтва та традіціям.",з обмеженими можливостями,1,sometimes_euph
6706,6706,Україна не може посилати такі самі хвилі зомбованого <м'яса>.,м'ясо,1,sometimes_euph
4451,4451,"Бот, не <втомився> надавати коментарі? Гарно платять?",втомитися,0,sometimes_euph
5081,5081,Збивати цих <пташок> щоб не приносили біди українським громадянам. Слава ЗСУ!,пташка,1,sometimes_euph
5162,5162,"І ми ці 12 км не їхали, ми летіли. <Долетіли>. І тут перший український блокпост в Оріхові, наш прапор, ми всі почали плакати.",долетіти,0,sometimes_euph
6220,6220,"Розташуйте свої <цілі> в порядку пріоритетності, щоб коли буде форс-мажорна ситуація, то виконувати найважливіше.",ціль,0,sometimes_euph
5401,5401,"Ми прийняли бій, відбувся контакт, який тривав хвилин 15-20. Наших трьох хлопців <затрьохсотили> (поранили – ред.), в тому числі й Вову Жиленка, двоє хлопців – двухсоті (загинули — ред.).",трьохсотий,1,sometimes_euph
480,480,Будуть також денні і <місячні> абонементи.,місячні,0,sometimes_euph
3844,3844,"""Ця технологія дозволяє добитися більшого врожаю та меншого використання води на одиницю продукції під час вирощування кукурудзи, сої, <бавовни> та сорго.""",бавовна,0,sometimes_euph
