,ID,TEXT,PET,LABEL,EUPH_STATUS
1465,1466,"sürecinde 321 değişik meslek grubunun mesleki, sosyal, özlük haklarını bir ay içerisinde ve o bir ayında belirli [PET_BOUNDARY]muayyen günlerinde[PET_BOUNDARY] müzakere ederek sonuca kavuşturulmasının mümkün olmadığını söyledi. MEMUR-SEN'İN KAMU PERSONEL DANIŞMA KURULU'",muayyen günü,0,sometimes_euph
2275,2276,"Dhalsim Hacımahmutoğlu kendisi için eline koluna hakim olamıyor diyenlere ateş püskürdü. -Benim hakkımda [PET_BOUNDARY]eli uzun[PET_BOUNDARY], eline koluna hakim olamıyor çok yavşayan bir adam diyorlar hanımla aram bozuldu. böyle diyenleri bir yakalasam",eli uzun,0,sometimes_euph
2207,2208,"bir apartman dairesinde ise birçok alanı komşularımızla ortak kullanırız. buraların temizliği, bahçenin bakımı [PET_BOUNDARY]apartman görevlisi[PET_BOUNDARY] tarafından yapılır. bizimle aynı binayı kullanan komşularımızın haklarına saygılı, onlara rahatsızlık vermeden",apartman görevlisi,1,always_euph
795,796,"ABD'deki Pennsylvania Üniversitesi'nin araştırmasında, 39 kişinin kalp fonksiyonları, 10 saatlik bir gece uykusunun ardından ölçüldü. Sonraki 5 gece boyunca da denekler, 4'er saat [PET_BOUNDARY]uyutuldu[PET_BOUNDARY] ve de teste tabi tutuldu. 5 gece yetersiz uyumanın, deneklerin kalp atışının hızlanmasına yol açtığı, vücudun stres ve uyarıcılara tepki verme yeteneğini körelttiği belirlendi.",uyutmak,0,sometimes_euph
472,473,"M. Hakkı ÖZBAYIR Manisa DHA Suriye halkının yaralarını sarmak ve muhtaç aileler için 1.5 milyon adet bir litre pet şişe ayçiçek yağı, İzmir Limanı’ndan, Suriye’nin Tartous Limanı’na konteynerlerle gönderilerek, Birleşmiş Milletler aracılığıyla [PET_BOUNDARY]ihtiyaç sahiplerine[PET_BOUNDARY] dağıtılacak. BM’nin resmi tedarikçisi olan Yonca Gıda, daha öncede Filistin, Yemen, Sudan, Tacikistan, İran, Suriye, Moritanya, Libya, Laos, Namibya ve Senegal için düzenlenen ihaleleri kazanmıştı. Etiketler: haber , haberler ,",ihtiyaç sahibi,1,sometimes_euph
1019,1020,"499918	İl Dışı atanmasıyla tayini çıkarak [PET_BOUNDARY]aramızdan ayrılan[PET_BOUNDARY] Serkan Hocamıza veda yemeği düzenledik, kendisine emeklerinden dolayı teşekkür ediyor, yeni okulunda ve çalışma hayatında başarılar diliyoruz.",aramızdan ayrıldı,0,sometimes_euph
62,63,Her [PET_BOUNDARY]aybaşı[PET_BOUNDARY] holding gibi zarf  dağılıyor.,aybaşı,0,sometimes_euph
2307,2308,kaybolur sanki gözleri Sanırız terketti gitti bizleri Böyle de bir sevda olmaz sanırdık Kara sevdasına dağlar [PET_BOUNDARY]aşırdı[PET_BOUNDARY] Ondan Âşık Baba dediler ona Ondaki sabıra alem şaşırdı Ondan Âşık Baba dediler ona Beş altı arkadaş girdik kolkola,aşırmak,0,sometimes_euph
1500,1501,Akçay Bozdoğan mahmuzları 4-cü kısım inşaatı ve Bozdoğan m rm SÜHEYLÂ PANSELER Şehrimiz gazinolarında ve haftanın [PET_BOUNDARY]muayyen günlerinde[PET_BOUNDARY] İstanbul Radyosunda okuduğu halk türküleri ile dinleyicilerin büyük alâkasını toplayan ses sanatkârı Süheylâ,muayyen günü,0,sometimes_euph
1035,1036,867712        Tiyatroya gönül vermiş öğretmen ve öğrencilerimize çok teşekkür eder Mart ayında [PET_BOUNDARY]aramızdan ayrılan[PET_BOUNDARY] Ufuk öğretmenimize bir kez daha Allah'tan rahmet dileriz.,aramızdan ayrıldı,1,sometimes_euph
2118,2119,geri kalan bölümünde her gün statin kullanmaları gerektiğini idda ediyor. Bu rapora göre statinler kalp krizi ve [PET_BOUNDARY]inme[PET_BOUNDARY] riskini azaltıyor. Sadece yüksek riskli hastalarda değil sigara içenler yüksek tansiyonu olanlar ve aşırı kilolu,inme,1,sometimes_euph
2245,2246,ile görüşerek detaylı bilgiye ulaşabilirsiniz. Polyester Kabin Kabin kullanıma hazır hem pratik hem de [PET_BOUNDARY]ekonomik[PET_BOUNDARY] yapısıyla Karmod modüler polyester kabin ürünleri yaşamın her alanında. Kabin sayfamızdan sizin için uygun olan,ekonomik,1,sometimes_euph
1924,1925,"geçmesiyle sonuçlanacak olan iç savaş döneminde Özgür Kadınlar Grubu'nun yolu geneleve düşen genç bir rahibeyle ve [PET_BOUNDARY]seks işçisi[PET_BOUNDARY] kadınlarla kesişiyor. Anarşist kadınların idealleri ve çabaları, faşistlere karşı mücadelede gösterdikleri",seks işçisi,1,always_euph
2025,2026,gerek duyulmaktadır. Peynirlerin yüzeyinde görülen bozulmalara karşı da çok yarar sağlamaktadır. Tuz aynı zamanda [PET_BOUNDARY]gaz çıkaran[PET_BOUNDARY] ve kokuşma yapan bakterilerin gelişmesini de engeller. Tuzun higroskopik niteliğinden ötürü serumun akması ve tam,gaz çıkarmak,0,sometimes_euph
658,659,"TBF'den yapılan açıklamaya göre 25. haftadaki Muratbey Uşak Sportif - Beşiktaş İntegral Forex mücadelesinde, ev sahibi takıma taraftarının uygunsuz tezahüratları, konuk ekibe de taraftarının sahaya yabancı [PET_BOUNDARY]madde[PET_BOUNDARY]ler atması nedeniyle para cezası verildi. Aynı haftadaki Banvit - Fenerbahçe Ülker karşılaşmasında da sarı - lacivertli ekip, seyircisinin müsabaka sırasında kullandığı patlayıcı madde nedeniyle cezalandırıldı.",madde,0,sometimes_euph
196,197,"""Önde iki tane uzun kolu var, arkada iki tane kısa  kolu var beni götüren [PET_BOUNDARY]dört kollu[PET_BOUNDARY]nun… Üstelik kimsenin omzuna yük de olmuyor ; kendi gidiyor!""",dört kollu,1,sometimes_euph
2031,2032,"kadar hissettiğim dişi kişisi olan carol'la gereğinden fazla repliğe girip geçmişinden dem vurması ile ""bu adam [PET_BOUNDARY]gidici[PET_BOUNDARY] "" tahminim tutması... ""uzaklaşan ben olabilirim ama terk eden sensin"" gibi bi' replikle merle'nin darly ile hareket",gidici,0,sometimes_euph
2357,2358,") adlı filmleri ile 1960'tan sonra çalışmaları Avrupa'da da kabul gördü. Las Vegas'ta geçirdiği enfarktüs sonucu [PET_BOUNDARY]hayatına veda eden[PET_BOUNDARY] Orson Welles, bir zamanlar dillerde olan I know what it is to be young şarkısı ile de gönülleri fethetti. ""But you dont",hayata veda etmek,1,sometimes_euph
1819,1820,"şiirinden bir dizeyle bitiriyor: ""Biz insanlar bir garip gemide yolcuyuz"". Evet, aslında hepimiz yolcuyuz. Ne var ki [PET_BOUNDARY]son yolculuk[PET_BOUNDARY] bazen Sabahattin Kudret Aksal'da olduğu gibi, ne yazık ki beklenmedik ve erken gerçekleşiveriyor! Yaşamayı sevmek",son yolculuk,1,sometimes_euph
2194,2195,". Adamlar, ""Hürriyet Tepesi civarında bazı arkadaşların kadın bulduklarını bildikleri için, orada pusuya [PET_BOUNDARY]yatmışlar[PET_BOUNDARY]"" imiş. Niyetlerinin vurmak değil ""sırf kadın yakalamak"" olduğunu sölyemişler. ""Kadın bulma, kadın yakalama""",yatmak,0,sometimes_euph
258,259,"CHP Genel Başkanı Kemal Kılıçdaroğlu, 3 Aralık Dünya [PET_BOUNDARY]Engelliler[PET_BOUNDARY] Günü dolayısıyla Twitter hesabından bir mesaj yayımladı. Kılıçdaroğlu yayımladığı mesajında "" Farklılıklarımıza rağmen özgürce yaşamak hepimizin hakkı. Engelli yurttaşların hayatlarını yaşanabilir kılmak hepimizin görevi olmalıdır"" dedi.",engelli,1,sometimes_euph
892,893,"Fransız oyuncu Marion Cotillard ile Amerikalı oyuncular Owen Wilson ve Rachel McAdams'ın  da rol aldığı ""Paris'te Geceyarısı"" adlı filmin çekimlerinin, Paris'in [PET_BOUNDARY]yoksulca[PET_BOUNDARY] mahallelerinden birindeki dar sokakta, pencerelerine kara perdeler çekilmiş bir binada başladığı belirtildi. Romantik komedi tarzındaki film, iş için Fransa'ya gelen bir ailenin hikayesini anlatıyor. Mahalle halkı ise, bu kadar ünlü kişileri bir araya getiren filmin çekimlerinde şimdiye kadar ""kimseyi görmediğinden"" yakınıyor.",yoksul,1,sometimes_euph
1057,1058,"Communications"" dergisinde yayınlandı. Sürüngenlerin dostu olarak bilinen ve geçtiğimiz Mart ayında yakalandığı [PET_BOUNDARY]amansız hastalığa[PET_BOUNDARY] yenik düşerek vefat eden Ege Üniversitesi Fen Fakültesi Biyoloji Bölümü Zooloji Anabilim Dalı Öğretim Üyesi Prof.",amansız hastalık,1,sometimes_euph
1967,1968,"olurdu. ""Boşuna atıp duruyoruz işte"" derdi babam, ""ne düşman var tepelerde, ne in ne cin! Milletin parasına yazık"". [PET_BOUNDARY]Eli sıkıydı[PET_BOUNDARY] evet, ama cüzdanı da fazla kabarık sayılmazdı. Hem şakanın sırası değildi, daha yeni cenaze kalkmıştı evden. Annemin",eli sıkı,1,sometimes_euph
994,995,701937        Önemli bir ergen sağlığı sorunu olan [PET_BOUNDARY]madde[PET_BOUNDARY] kullanımı ve bağımlılığı mücadelesidir.,madde,1,sometimes_euph
2265,2266,paket tatil seçenekleri sayesinde istediğiniz hizmetlerden faydalanabilirsiniz. Bu otellerin görece daha [PET_BOUNDARY]ekonomik[PET_BOUNDARY] tatil sunmasının yanı sıra misafirlerine aradığı konforu sağlıyor. Erken dönemlerde karar verdiğiniz otel,ekonomik,1,sometimes_euph
179,180,"DHA Amerika Birleşik Devletleri’nin Chicago eyaletinde bulunan Eisenhower otobanında bir çift, otomobillerinde son sürat hareket halinde [PET_BOUNDARY]cinsel ilişkiye girerken[PET_BOUNDARY] kameraya takıldı. Ateşli çift, görüntülendiklerini anlamalarına rağmen istiflerini bozmadan, yoğun otobanda kendi ve diğer sürücülerin can güvenliğini tehlikeye atmaya devam ettiler. İŞTE O SKANDAL GÖRÜNTÜLER... (18+) Etiketler: arabada ilişki , abd , ABD",cinsel ilişkiye girmek,1,always_euph
1902,1903,arama sitelerinde reklam yapmaktalar. Üç aydır ateşli kızlar kervanında hizmetimi sürdürüyorum. Sektörün en körpe [PET_BOUNDARY]hayat kadını[PET_BOUNDARY] olma özelliğini taşıyorum ve gerçekten erkekleri ilgisinden memnunum. Bana hayranlıkla baktıklarını,hayat kadını,1,always_euph
1725,1726,". Çok büyük bir yanlışlık. Milli Eğitim Bakanlığı bu okulların yeniden açılmasını sağlamalıdır. Saygılarımla. Aşk; [PET_BOUNDARY]üç harfli[PET_BOUNDARY] ve tarifi kolay bir kelimedir. Çünkü her kelimede aşkı tarif edebilirsiniz. Aptallık, salaklık, saçmalık, acı,",üç harfli,0,sometimes_euph
2338,2339,\ İngiltere Çiftçi bir ailenin çocuğu olan Newton Noel zamanında dünyaya gelir. Babası Newton doğmadan 3 ay önce [PET_BOUNDARY]hayata veda eder[PET_BOUNDARY]. Newton ilk doğduğunda çevresindekilerin hiçbiri yaşayacağına inanmıyordu çünkü çok zayıf ve çelimsiz bir şekilde,hayata veda etmek,1,sometimes_euph
1401,1402,"kılınır Bundan sonra kurşuncu kadın mangal başına geçer ve içinde kurşun bulunan tavayı ateşe sürer; kurşunu eritir ' [PET_BOUNDARY]İyi saatte olsunlar[PET_BOUNDARY] peri*lerinin erkekleri'nden sakınmak amacıyla başını örter Hastanın odasına girer, hasta arka üstü yatırılır ve",iyi saatte olsunlar,1,sometimes_euph
2165,2166,", çözemiyorum; Aldığım her nefeste daha da bağlandım. Öyle bir esaret ki, kurtulamıyorum, Yer ile gök arası [PET_BOUNDARY]sıkıştım[PET_BOUNDARY] kaldım. Dokun yağmur misali gözlerime, Ilık bir rüzgâr gibi okşa başımı. Duy kalbimin sesini; sen atıyor yine, Ve",sıkışmak,0,sometimes_euph
438,439,"Tam adı Abraham Charles Abe Vigoda olan Brooklyn doğumlu ünlü aktör, 94 yaşında [PET_BOUNDARY]hayata gözlerini yumdu[PET_BOUNDARY]. Vigoda, Francis Ford Coppola'nın başyapıtı 'Baba' filmindeki Sal Tessio karakterine can vermişti. ABD'li aktör 1970'lere damga vuran Barney Miller dizisinde başrolde rol almıştı. Etiketler: ABD , Ford",hayata gözlerini yummak,1,always_euph
132,133,"2 aydır ünlü oyuncu Kıvanç Tatlıtuğ'la [PET_BOUNDARY]birlikte olan[PET_BOUNDARY] stil danışmanı Başak Dizer Şamdan Plus'a verdiği röportajda özel hayatıyla ilgili ilk kez konuştu. Özel hayatıyla gündeme gelmek istemediğini belirten Dizer, ""Çok mutluyum ama o kadar"" dedi. Her zaman yaptığı işle anılmak istediğini söyleyen stil danışmanı Dizer, yaşadığı ilginin de alışık olmadığı bir durum olduğunu söyledi.",birlikte olmak,0,sometimes_euph
1497,1498,veren maddelerdir. Fe geri dönüşümlü kullanıldığından erkeklerde Fe eksikliği çok görülmez. Fakat hanımlar [PET_BOUNDARY]muayyen günlerinde[PET_BOUNDARY] her ay yaklaşık 30 mg Fe kaybeder. Bir doğumda ise 500 mg kadar Fe kaybedilir. Dolayısıyla bu kayıpların dışarıdan,muayyen günü,1,sometimes_euph
375,376,Mustafa Sabri ise 1952 yılında [PET_BOUNDARY]Hakk'ın rahmetine kavuşmuştu[PET_BOUNDARY].,hakkın rahmetine kavuşmak,1,always_euph
1154,1155,"veya yarım dinar,[11] altın parayı bir fakire tasadduk etmesi gerekir. Bir hadiste şöyle buyurulur: ""Bir erkek eşine [PET_BOUNDARY]aybaşı[PET_BOUNDARY] halinde yaklaştığında, eğer aybaşı kanı kırmızı ise bir dinar, sarı ise yarım dinar altını sadaka olarak versin. "" [12",aybaşı,1,sometimes_euph
832,833,"MHP Genel Başkan Yardımcısı ve İstanbul milletvekili Celal Adan'ın  annesi Hacı Fatma Adan, [PET_BOUNDARY]vefat etti[PET_BOUNDARY]. Hacı Fatma Adan'ın cenazesinin, yarın öğle vakti Eyüp Sultan Camii 'nde kılınacak namazın ardından toprağa verileceği belirtildi",vefat etmek,1,always_euph
1412,1413,da HADDİNİZİ BİLİN! diyerek bitirirler yorumlarını. Siz de 'İyi de ne dedim ki ben şimdi? ' diye şaşar kalırsınız. [PET_BOUNDARY]İyi saatte olsunlar[PET_BOUNDARY]'ı gelmiştir bu insanların. Her lafa limon sıkanlar: Bu kişiler ya size olan şahsi gıcıklıkları sebebiyle ya da hayata,iyi saatte olsunlar,1,sometimes_euph
614,615,"Tunus'un en büyük sendikası Tunus Genel Çalışma Birliği Genel Merkezi önünde düzenlenen yürüyüşe Birlik yanlıları ile Nahda Partisi yanlıları katıldı. Yürüyüş sırasında iki grup arasında çıkan gerilim, arbedeye dönüşünce taraflar birbirlerine sopalarla saldırdı. Güvenlik güçlerinin olaylara müdahale etmemesi dikkati çekerken, yaralanan bazı kişiler tedavi altına alındı. Tunus'ta işçiler bugün 1952 yılında suikasta [PET_BOUNDARY]kurban giden[PET_BOUNDARY] Ulusal Bağımsızlık Hareketi'nin Lideri Ferhat Haşid'i anıyor.",kurban gitmek,1,sometimes_euph
1240,1241,olmuyor daha 24 yasindaym 2 senelik evliyim TEKNOLOJİ Taşınmaz malları sayınız desem Evlerle toprağı tek sayarsınız [PET_BOUNDARY]Dört kolluya[PET_BOUNDARY] cansız yatıp giderken Bir gömleği bile taşımazsınız Çalışmak kazanmak elbette gerek Sorumluluklar var yeni kuşağa,dört kollu,1,sometimes_euph
786,787,"Pendik Eğitim ve Araştırma Hastanesi Yöneticisi Prof. Dr. İsmail Cinel, kafa ve göğüs travması geçiren Sadıkoğlu'nun tedbir amaçlı [PET_BOUNDARY]uyutulduğunu[PET_BOUNDARY] bildirdi. Prof. Cinel, ""Tedaviye yanıt veriyor. Bu olumlu bir gelişme. Birkaç gün içinde uyandırılacaktır"" dedi. Kahraman Sadıkoğlu'nun önümüzdeki günlerde ameliyat edileceği belirtildi.",uyutmak,0,sometimes_euph
599,600,"Afet İdaresi yetkilileri, sellerde birkaç kişinin de [PET_BOUNDARY]kaybolduğunu[PET_BOUNDARY] belirtti. Seller yüzünden bazı evlerin yıkıldığı ve alt yapının hasar gördüğü kaydedildi. Arama ve kurtarma çalışmalarının geçen yılki sel felaketinde hasar gören ve henüz onarılmayan köprü ve yollar yüzünden güçlükle yürütüldüğü bildirildi. Şiddetli yağışın bölgede 24 saat daha süreceği tahmin ediliyor. Pakistan'ı geçen yıl tarihinin en kötü sel felaketi vurmuştu.",kaybetmek,0,sometimes_euph
197,198,"""Chaturunga  sözcüğü Sanskritce'de dört kol, [PET_BOUNDARY]dört kollu[PET_BOUNDARY] ordu' veya dört silah anlamına  gelmektedir.""",dört kollu,0,sometimes_euph
2076,2077,saygılar... 03.07.2010 23:56 Bence çok saçma bir durum. Bugüne kadar da anlam veremediğim bir durum. Tuvalete [PET_BOUNDARY]ihtiyacını görmek[PET_BOUNDARY] için girip çıkarsın. Ne kitabı ne gazetesi ???? Banyo değil ki burası keyif yapasın :)) Bana ilginç geliyor kısacası :,ihtiyacını görmek,1,sometimes_euph
85,86,"Lice'deki olayları protesto için Hakkari'nin Yüksekova İlçesi'nde iki gündür eylemler sürerken, esnaf da kepenk kapamıştı. Bu sabah yine kepenklerin kapalı olduğu Yüksekova'da, BDP'liler sokak sokak dolaşarak esnafın kepenklerini açmasını istedi. Parti aracından yapılan anons sonrası iş yerlerinin önünde [PET_BOUNDARY]bekleyen[PET_BOUNDARY] esnaf yeniden kepenklerini açtı.",beklemek,0,sometimes_euph
1799,1800,"in Alfası) biçiminde kullanılır. Ayrıca, takımyıldızların Uluslarası Gökbilim Birliği tarafından belirlenen [PET_BOUNDARY]üç harfli[PET_BOUNDARY] kısaltmaları da kullanılabilir. ""Akrep Yüreği"", ""a Sco"" ya da ""Alfa Akrep"" aynı yıldızı ifade etmektedir. Yeni",üç harfli,0,sometimes_euph
1430,1431,"işini kolay yürür duruma getirmek. Deveyi düze çıkarmak Güçlükleri giderip işleri yoluna koymak. (Deyim) Entrikaya [PET_BOUNDARY]kurban gitmek[PET_BOUNDARY] Hileli, dalavereli bir iş sonunda zarara uğramak: İşi bu kadar sağlama almış olduğu hâlde, dışarıda entrikaya kurban",kurban gitmek,0,sometimes_euph
858,859,"Oyuncu Tamer Karadağlı'nın babası bu Sabah [PET_BOUNDARY]vefat etti[PET_BOUNDARY]. Yapımcı birol güven, acı haberi sosyal medyadan duyurdu. Güven, ""Değerli sanatçımız Tamer Karadağlı'nın babasını bu sabah kaybettik. Cenazesi Ankara'da n kaldırılacak. Bilgileri paylaşacağım."" diye paylaşım yaptı. 100.000  Sanal Para ve Eğitim Rehberi ile Forex’i Ücretsiz Öğrenin! 2016 Yılı 4.Çeyrek Kâr / Zarar Oranı: %18  /  %82 Etiketler: Tamer Karadağlı , baba , vefat , Sabah , Ankara , birol güven , Tamer Karadağlı",vefat etmek,1,always_euph
1839,1840,". "" Hatalarla dolu, sorumsuz bir baba; tüm hatalarına rağmen babasını çok seven küçük kızı... Birlikte çıktıkları [PET_BOUNDARY]son yolculuk[PET_BOUNDARY], ikisini de ayrı yollara savurmuştu. Baba ve küçük kızının, her şeye rağmen kopmayan bağlarının traji-komik",son yolculuk,0,sometimes_euph
1875,1876,"... Malatya'nın sevilen isimlerinden birisi olan; Hasan Altın yakalandığı amansız hastalıktan kurtulamayarak [PET_BOUNDARY]hakka yürüdü[PET_BOUNDARY]. - Haberi Hasan Altın hakka yürüdü... Malatya'da yıllarca Köy Hizmetleri, İl Özel İdare Başkanlığı ve Malatya",hakka yürümek,1,sometimes_euph
1880,1881,"1980'li yıllarda yapımına başlanan Saruhan Oteli'ne doğuya doğru sür'at yolu boyunca yürüdüğümüzde; yakın zamanda [PET_BOUNDARY]hakkın rahmetine kavuşan[PET_BOUNDARY] 1977 dönemi Manisa Belediye Başkanı olan Rahmetli Ersan Atılgan Laleli'nin altyapısını ihale ettiğinde bu bölge,",hakkın rahmetine kavuşmak,1,always_euph
397,398,"""Safevi devleti Alevi inancının  resmi olarak tanındığı, gelişmesinin desteklendiği, hatta örgütlendirildiği bir devlettir,  önemi de buradadır Şah İsmail’in [PET_BOUNDARY]Hakka yürümesinden[PET_BOUNDARY] (1504) sonra yerine  oğlu 1.Tahmasp geçti.""",hakka yürümek,1,sometimes_euph
914,915,37428        Amerikalı aktris 8 aylık bebek [PET_BOUNDARY]bekleyen[PET_BOUNDARY] Sharon Tate ve 4 kişi evlerinde katledildiler.,beklemek,1,sometimes_euph
2166,2167,"şehirlere dair anıları önceki yazılardan okuyabilirsiniz. Ama 2012 anılarını bir türlü yazamadım, bir noktada [PET_BOUNDARY]sıkıştım[PET_BOUNDARY], içinden çıkamadım. Kronolojiyi bozmak istemediğim için birikti birikti, aradan kocaman bir sene geçti. Ne kadar",sıkışmak,0,sometimes_euph
660,661,"Pakistan Ordusu Bilgilendirme Merkezi'nden (ISPR) yapılan açıklamada, Kuzey Veziristan'da bir kontrol noktasına su tankeri içinde yerleştirilmiş patlayıcı [PET_BOUNDARY]madde[PET_BOUNDARY] ile yapılan intihar saldırısında 17 askerin öldüğü, 10 kadar askerin de yaralandığı bildirildi. Ölümlerin çoğunun patlamayla yıkılan karakol binasının enkazı altında kalan askerlerden oluştuğu belirtildi. Taliban örgütünün kalesi olarak bilinen Kuzey Veziristan'da düzenlenen saldırıyı henüz üstlenen olmadı.",madde,0,sometimes_euph
2217,2218,yere götürmüşler. Adam orada bir kurban kesmiş. Yıkılmış olan mezarı yaptırmış ve birkaç hafta sonra gönül huzuru ile [PET_BOUNDARY]canını teslim etmiş[PET_BOUNDARY]. İşte o gün bugündür Işık Dede mezarı kutsal kabul edilerek düzenli olarak ziyaret edilmekte ve kurbanlar,canını teslim etmek,1,sometimes_euph
589,590,"Devlet televizyonu, Uattara'nın seçim sonrasındaki krizde ölenler, yaralananlar ve [PET_BOUNDARY]kaybolanların[PET_BOUNDARY] anısına perşembe, cuma ve cumartesi günlerini yas ilan ettiğini duyurdu. Bu günlerin tatil ilan edilmediği belirtildi. Ülkede 28 Kasım'da düzenlenen seçimlerin ardından patlak veren 5 aylık kriz döneminin sonunda Uattara devlet başkanı ilan edilmişti. Seçim sonuçlarına itiraz eden Laurent Gbagbo, seçimi kendisinin kazandığını ileri sürüp makamını terk etmemiş, 11 Nisan'da gözaltına alınmıştı.",kaybetmek,0,sometimes_euph
2172,2173,ve erotik şovlarımla VİP escort bayanım ve ilişkilerimde tamamen şeffaflığı tercih ediyorum.. Partnerimi [PET_BOUNDARY]tahrik etme[PET_BOUNDARY] yöntemlerim harika ve kalitelidir görüşmelerimi lüks yerlerde gerçekleştiriyorum ve ücreti karşılığında oral,tahrik etmek,1,sometimes_euph
1706,1707,", inanamadım. Çok sinirlendim. Sanırım hakem benim bu hareketi rakip oyuncuya karşı yaptığımı düşündü ama birisini [PET_BOUNDARY]gaz çıkararak[PET_BOUNDARY] provoke etmek pek de akıllıca değil. Hakem benim sportmenlik dışı davranışta bulunduğumu, bu yüzden 2. sarı kartı",gaz çıkarmak,1,sometimes_euph
713,714,"[PET_BOUNDARY]Saf[PET_BOUNDARY] tutmak için sonradan gelen İstanbul Büyükşehir Belediye Başkanı Kadir Topbaş'a safta yer alan Şişli Belediye Başkanı Mustafa Sarıgül yer verdi. Topbaş bu sırada safta yer alan Rahmi Koç ile selamlaştı. Mustafa Sarıgül'e de selam veren Kadir Topbaş'ı Sarıgül, yanağından öptü. Topbaş, Koç ve Sarıgül bu durumdan ötürü bir süre gülüştü. TEKİN AKMANSOY'A VEDA",saf,0,sometimes_euph
1203,1204,"gülüyorlar, biz onlar için ağlayıp hidayet diliyoruz. Sahipkıran 17.07.2021 10:16 Eee o camiye bir gün mutlaka [PET_BOUNDARY]dört kolluda[PET_BOUNDARY] gideceksiniz, yol yakınken tövbe edin... Yoksa Allahın azabı pek çetin... Beğen Süleyman BENLİ 17.07.2021 10:16",dört kollu,1,sometimes_euph
2378,2379,"bir yerlerde ""yavaş ol"" diyen sesi hepimiz daha net duymaya başladık. Hafta sonları gidilen köy.... 35 yaşında beşeri [PET_BOUNDARY]hayatına veda eden[PET_BOUNDARY] Mozart bu yıl ölümsüzlüğünün 265. yılını kutluyor. Bu dünyadan göçerken, kötü hava koşulları sebebiyle cenazesin",hayata veda etmek,0,sometimes_euph
