ID,Unnamed: 0,EUPH_STATUS,left-hand context (one sentence),main sentence,right-hand context (one sentence),source,PET,PET lemmatised,literal translation,non-euph equivalent,non-euph equivalent translation,category,A,J,U,W,majority label,LABEL,TEXT
1722,1721,sometimes_euph,"Dosłownie mówiąc: Bóg umarł za ludzi, doświadczając niewyobrażalnie bolesnych tortur, by otworzyć im drogę do zbawienia.","Mało tego, obietnica Zbawiciela pojawiła się w zasadzie od razu po tym, jak pierwsi ludzie [PET_BOUNDARY]zgrzeszyli[PET_BOUNDARY].","Odpowiedzią Boga na zastaną sytuację jest więc obietnica zbawienia, czyli swoistego zakończenia tragedii egzystencji ludzkiej.",KWJP,zgrzeszyli,zgrzeszyć,to sin,-,-,physiology,0,0,X,0,0.0,0.0,"Dosłownie mówiąc: Bóg umarł za ludzi, doświadczając niewyobrażalnie bolesnych tortur, by otworzyć im drogę do zbawienia. Mało tego, obietnica Zbawiciela pojawiła się w zasadzie od razu po tym, jak pierwsi ludzie [PET_BOUNDARY]zgrzeszyli[PET_BOUNDARY]. Odpowiedzią Boga na zastaną sytuację jest więc obietnica zbawienia, czyli swoistego zakończenia tragedii egzystencji ludzkiej."
1786,1785,sometimes_euph,"Lubił sprężystość leszczynowych pędów, ich równą, rzadko wynaturzoną bulwiastymi naroślami linię, leszczynową giętkość i twardość.",Nagle rozległ się głośny plusk i po chwili zobaczył prującego taflę [PET_BOUNDARY]bobra[PET_BOUNDARY].,"Zwierzak płynął pod prąd, w stronę zakrętu, za którym znajdowało się gospodarstwo Serpiny.",KWJP,bobra,bóbr,beaver,-,-,body parts,0,X,0,0,0.0,0.0,"Lubił sprężystość leszczynowych pędów, ich równą, rzadko wynaturzoną bulwiastymi naroślami linię, leszczynową giętkość i twardość. Nagle rozległ się głośny plusk i po chwili zobaczył prującego taflę [PET_BOUNDARY]bobra[PET_BOUNDARY]. Zwierzak płynął pod prąd, w stronę zakrętu, za którym znajdowało się gospodarstwo Serpiny."
418,417,sometimes_euph,"Przez jakiś czas krążyła wokół centrum handlowego na placu Unii, szurała po Puławskiej, teraz zaniosło ją aż na Stokłosy, niewykluczone, że w dalszej części dnia dojedzie na Imielin i Kabaty.","Dałem jej [PET_BOUNDARY]dwójkę[PET_BOUNDARY], choć nie ufam jej za grosz.","Jej metodę zagubionej wieśniaczki zdemaskowałem dawno temu, choć na początku w płaczliwym rozczuleniu wręczałem jej garść drobniaków.",KWJP,dwójkę,dwójka,two,dwa złote,two złoty,money,1,0,1,X,1.0,1.0,"Przez jakiś czas krążyła wokół centrum handlowego na placu Unii, szurała po Puławskiej, teraz zaniosło ją aż na Stokłosy, niewykluczone, że w dalszej części dnia dojedzie na Imielin i Kabaty. Dałem jej [PET_BOUNDARY]dwójkę[PET_BOUNDARY], choć nie ufam jej za grosz. Jej metodę zagubionej wieśniaczki zdemaskowałem dawno temu, choć na początku w płaczliwym rozczuleniu wręczałem jej garść drobniaków."
320,319,sometimes_euph,"Jeżeli kupujemy sadzonki tulipanów, sprawdźmy, czy w dotyku nie przypominają papieru (może to być objaw pergaminowatości pąków — choroby fizjologicznej).","Kupując sadzonki hiacyntów, szukajmy takich, których liście wolne są od plam, a pąki nie są zbyt zwarte i krótkie — z takich pąków wyrastają bowiem [PET_BOUNDARY]nieładne[PET_BOUNDARY], z reguły przekrzywione kwiatostany.",Gdzie najlepiej będą się czuły rośliny?,KWJP,nieładne,nieładny,not pretty/unattractive,-,-,physical appearance,X,0,0,0,0.0,0.0,"Jeżeli kupujemy sadzonki tulipanów, sprawdźmy, czy w dotyku nie przypominają papieru (może to być objaw pergaminowatości pąków — choroby fizjologicznej). Kupując sadzonki hiacyntów, szukajmy takich, których liście wolne są od plam, a pąki nie są zbyt zwarte i krótkie — z takich pąków wyrastają bowiem [PET_BOUNDARY]nieładne[PET_BOUNDARY], z reguły przekrzywione kwiatostany. Gdzie najlepiej będą się czuły rośliny?"
1719,1718,sometimes_euph,Masz coś bardzo wyrafinowanego.,"Mała [PET_BOUNDARY]pupa[PET_BOUNDARY] i zgrabne piersi, twoje ciało błaga o ładną bieliznę.",Nina westchnęła.,KWJP,pupa,pupa,larva,dupa,butt,body parts,1,X,1,1,1.0,1.0,"Masz coś bardzo wyrafinowanego. Mała [PET_BOUNDARY]pupa[PET_BOUNDARY] i zgrabne piersi, twoje ciało błaga o ładną bieliznę. Nina westchnęła."
848,847,sometimes_euph,Życie ludzkie przestało być wartością samą w sobie.,"Śmierć była wierną towarzyszką i stała się równie bliska jak błoto na drodze, lejący deszcz czy [PET_BOUNDARY]miska ryżu[PET_BOUNDARY].","Nie szokowała, nie zabierała ani snu, ani apetytu i nie zajmowała w myślach szczególnego miejsca.",KWJP,miska ryżu,miska ryżu,a bowl of rice,-,-,money,0,0,0,0,0.0,0.0,"Życie ludzkie przestało być wartością samą w sobie. Śmierć była wierną towarzyszką i stała się równie bliska jak błoto na drodze, lejący deszcz czy [PET_BOUNDARY]miska ryżu[PET_BOUNDARY]. Nie szokowała, nie zabierała ani snu, ani apetytu i nie zajmowała w myślach szczególnego miejsca."
1153,1152,always_euph,"Ale warto pamiętać, że ma prawo być rozżalona.",Pozbyto się jej z wydziału w [PET_BOUNDARY]niezbyt elegancki sposób[PET_BOUNDARY].,Nie pasowała szefowej.,KWJP,niezbyt elegancki sposób,niezbyt elegancki sposób,not a very elegant way,nieuczciwie,unfairly,vice,1,X,1,1,1.0,1.0,"Ale warto pamiętać, że ma prawo być rozżalona. Pozbyto się jej z wydziału w [PET_BOUNDARY]niezbyt elegancki sposób[PET_BOUNDARY]. Nie pasowała szefowej."
927,926,always_euph,A w Turcji się udało.,"Chyba nie tylko dlatego, że Turcy byli przyzwyczajeni do autokracji i nie tylko w efekcie traumatycznych przeżyć pierwszej wojny światowej - połowa ludności kraju [PET_BOUNDARY]straciła życie[PET_BOUNDARY] lub została zmuszona do opuszczenia rodzinnych stron.","Jest bowiem w Turkach coś takiego, co, choć przy próbie uchwycenia jak woda przecieka między palcami, to przecież jest.",NKJP300,straciła życie,stracić życie,to lose life,umrzeć,to die,death,1,1,1,1,1.0,1.0,"A w Turcji się udało. Chyba nie tylko dlatego, że Turcy byli przyzwyczajeni do autokracji i nie tylko w efekcie traumatycznych przeżyć pierwszej wojny światowej - połowa ludności kraju [PET_BOUNDARY]straciła życie[PET_BOUNDARY] lub została zmuszona do opuszczenia rodzinnych stron. Jest bowiem w Turkach coś takiego, co, choć przy próbie uchwycenia jak woda przecieka między palcami, to przecież jest."
2378,2377,sometimes_euph,Na szczęście mogę raz jeszcze uśmiechnąć się na samo wspomnienie tyrady wuefisty.,"O tym, jak to przez zakaz [PET_BOUNDARY]kontaktów fizycznych[PET_BOUNDARY] nie może wykonywać z uczniami wielu ćwiczeń, choćby całej gimnastyki.","Robię więc to, co mi zostało – konstatuje facet w dresie.",KWJP,kontaktów fizycznych,kontakt fizyczny,physical contact,-,-,sex,0,0,0,X,0.0,0.0,"Na szczęście mogę raz jeszcze uśmiechnąć się na samo wspomnienie tyrady wuefisty. O tym, jak to przez zakaz [PET_BOUNDARY]kontaktów fizycznych[PET_BOUNDARY] nie może wykonywać z uczniami wielu ćwiczeń, choćby całej gimnastyki. Robię więc to, co mi zostało – konstatuje facet w dresie."
2062,2061,sometimes_euph,"Więc trochę szybciej, błogosławiony owoc żywota twojego, szybciej.",[PET_BOUNDARY][PET_BOUNDARY]U[PET_BOUNDARY][PET_BOUNDARY]j[PET_BOUNDARY][PET_BOUNDARY]e[PET_BOUNDARY][PET_BOUNDARY]ż[PET_BOUNDARY][PET_BOUNDARY]d[PET_BOUNDARY][PET_BOUNDARY]ż[PET_BOUNDARY][PET_BOUNDARY]a[PET_BOUNDARY][PET_BOUNDARY] [PET_BOUNDARY][PET_BOUNDARY]s[PET_BOUNDARY][PET_BOUNDARY]w[PET_BOUNDARY][PET_BOUNDARY]ó[PET_BOUNDARY][PET_BOUNDARY]j[PET_BOUNDARY][PET_BOUNDARY] [PET_BOUNDARY][PET_BOUNDARY]t[PET_BOUNDARY][PET_BOUNDARY]r[PET_BOUNDARY][PET_BOUNDARY]z[PET_BOUNDARY][PET_BOUNDARY]o[PET_BOUNDARY][PET_BOUNDARY]n[PET_BOUNDARY][PET_BOUNDARY]e[PET_BOUNDARY][PET_BOUNDARY]k[PET_BOUNDARY][PET_BOUNDARY] [PET_BOUNDARY][PET_BOUNDARY]j[PET_BOUNDARY][PET_BOUNDARY]a[PET_BOUNDARY][PET_BOUNDARY]k[PET_BOUNDARY][PET_BOUNDARY] [PET_BOUNDARY][PET_BOUNDARY]o[PET_BOUNDARY][PET_BOUNDARY]b[PET_BOUNDARY][PET_BOUNDARY]c[PET_BOUNDARY][PET_BOUNDARY]e[PET_BOUNDARY][PET_BOUNDARY] [PET_BOUNDARY][PET_BOUNDARY]c[PET_BOUNDARY][PET_BOUNDARY]i[PET_BOUNDARY][PET_BOUNDARY]a[PET_BOUNDARY][PET_BOUNDARY]ł[PET_BOUNDARY][PET_BOUNDARY]o[PET_BOUNDARY][PET_BOUNDARY].[PET_BOUNDARY][PET_BOUNDARY],"Ale to jego rozkosz i jego ból, który znika, kiedy coś ciepłego zaczyna pulsować na dnie moszny.",KWJP,,trzonek,handle,męskie genitalia,male genitalia,body parts,1,X,1,1,1.0,1.0,"Więc trochę szybciej, błogosławiony owoc żywota twojego, szybciej. [PET_BOUNDARY][PET_BOUNDARY]U[PET_BOUNDARY][PET_BOUNDARY]j[PET_BOUNDARY][PET_BOUNDARY]e[PET_BOUNDARY][PET_BOUNDARY]ż[PET_BOUNDARY][PET_BOUNDARY]d[PET_BOUNDARY][PET_BOUNDARY]ż[PET_BOUNDARY][PET_BOUNDARY]a[PET_BOUNDARY][PET_BOUNDARY] [PET_BOUNDARY][PET_BOUNDARY]s[PET_BOUNDARY][PET_BOUNDARY]w[PET_BOUNDARY][PET_BOUNDARY]ó[PET_BOUNDARY][PET_BOUNDARY]j[PET_BOUNDARY][PET_BOUNDARY] [PET_BOUNDARY][PET_BOUNDARY]t[PET_BOUNDARY][PET_BOUNDARY]r[PET_BOUNDARY][PET_BOUNDARY]z[PET_BOUNDARY][PET_BOUNDARY]o[PET_BOUNDARY][PET_BOUNDARY]n[PET_BOUNDARY][PET_BOUNDARY]e[PET_BOUNDARY][PET_BOUNDARY]k[PET_BOUNDARY][PET_BOUNDARY] [PET_BOUNDARY][PET_BOUNDARY]j[PET_BOUNDARY][PET_BOUNDARY]a[PET_BOUNDARY][PET_BOUNDARY]k[PET_BOUNDARY][PET_BOUNDARY] [PET_BOUNDARY][PET_BOUNDARY]o[PET_BOUNDARY][PET_BOUNDARY]b[PET_BOUNDARY][PET_BOUNDARY]c[PET_BOUNDARY][PET_BOUNDARY]e[PET_BOUNDARY][PET_BOUNDARY] [PET_BOUNDARY][PET_BOUNDARY]c[PET_BOUNDARY][PET_BOUNDARY]i[PET_BOUNDARY][PET_BOUNDARY]a[PET_BOUNDARY][PET_BOUNDARY]ł[PET_BOUNDARY][PET_BOUNDARY]o[PET_BOUNDARY][PET_BOUNDARY].[PET_BOUNDARY][PET_BOUNDARY] Ale to jego rozkosz i jego ból, który znika, kiedy coś ciepłego zaczyna pulsować na dnie moszny."
187,186,sometimes_euph,"Jakby tego było mało, Pasikowski zignorował nawet zamówione przez Przewozy Regionalne opracowania firmy doradczej EY wytykające, że „obserwowany w Polsce spadek znaczenia pasażerskiego transportu kolejowego jest przeciwieństwem tendencji obserwowanych w Europie Zachodniej”, zaś jedną z głównych przyczyn słabej pozycji polskiej kolei jest niska częstotliwość kursowania pociągów.","Po kilkuletnim procesie restrukturyzacji Agencja Rozwoju Przemysłu powinna [PET_BOUNDARY]pozbyć się[PET_BOUNDARY] spółki Przewozy Regionalne: „Przewiduje się, że w średnio- lub długoterminowej perspektywie podmiot restrukturyzujący dokona odpłatnego zbycia udziałów, które będzie posiadał w Przewozach Regionalnych.","Nie jest brane pod uwagę nieodpłatne przekazanie udziałów na rzecz samorządów województw, z uwagi na fakt, że Agencja Rozwoju Przemysłu, jak każdy inwestor, oczekuje zysków w związku z nakładami poczynionymi przy realizacji określonej inwestycji”.",KWJP,pozbyć się,pozbyć się,to get rid of,zabić,to kill,death,X,0,0,1,0.0,0.0,"Jakby tego było mało, Pasikowski zignorował nawet zamówione przez Przewozy Regionalne opracowania firmy doradczej EY wytykające, że „obserwowany w Polsce spadek znaczenia pasażerskiego transportu kolejowego jest przeciwieństwem tendencji obserwowanych w Europie Zachodniej”, zaś jedną z głównych przyczyn słabej pozycji polskiej kolei jest niska częstotliwość kursowania pociągów. Po kilkuletnim procesie restrukturyzacji Agencja Rozwoju Przemysłu powinna [PET_BOUNDARY]pozbyć się[PET_BOUNDARY] spółki Przewozy Regionalne: „Przewiduje się, że w średnio- lub długoterminowej perspektywie podmiot restrukturyzujący dokona odpłatnego zbycia udziałów, które będzie posiadał w Przewozach Regionalnych. Nie jest brane pod uwagę nieodpłatne przekazanie udziałów na rzecz samorządów województw, z uwagi na fakt, że Agencja Rozwoju Przemysłu, jak każdy inwestor, oczekuje zysków w związku z nakładami poczynionymi przy realizacji określonej inwestycji”."
1596,1595,sometimes_euph,Porządna dawka tlenu powinna postawić nas na nogi i złagodzić ból głowy.,"Gdy [PET_BOUNDARY]jest z nami bardzo źle[PET_BOUNDARY], sięgnijmy po tzw. „klina”",Mała dawka rozcieńczonego alkoholu ułatwi komórkom powrót do normalności.,KWJP,jest z nami bardzo źle,jest z kimś (bardzo/naprawdę/aż tak) źle,it's (very/really/so) bad with someone,,,death,X,1,0,0,0.0,0.0,"Porządna dawka tlenu powinna postawić nas na nogi i złagodzić ból głowy. Gdy [PET_BOUNDARY]jest z nami bardzo źle[PET_BOUNDARY], sięgnijmy po tzw. „klina” Mała dawka rozcieńczonego alkoholu ułatwi komórkom powrót do normalności."
2348,2347,sometimes_euph,– Uspokoję pana.,"Na razie nie mam dni płodnych, a kiedy będę je miała, specjalnie na pańskie życzenie nie [PET_BOUNDARY]dopuszczę do siebie[PET_BOUNDARY] żadnego dawcy nasienia.","W przypadku, gdyby tak się stało, napiszę e-maila.",KWJP,dopuszczę do siebie,dopuścić do siebie,to let someone/something in,pozwolić mężczyźnie na stosunek płciowy,to give a man permission for sexual intercourse,sex,1,1,1,X,1.0,1.0,"– Uspokoję pana. Na razie nie mam dni płodnych, a kiedy będę je miała, specjalnie na pańskie życzenie nie [PET_BOUNDARY]dopuszczę do siebie[PET_BOUNDARY] żadnego dawcy nasienia. W przypadku, gdyby tak się stało, napiszę e-maila."
315,314,sometimes_euph,"Zamek do tylnych drzwi furgonetki został otwarty siekierą, wewnątrz znajdowało się pięć worków pełnych pieniędzy. To był najtrudniejszy moment operacji.","Ludziom Lalka udało się [PET_BOUNDARY]skombinować[PET_BOUNDARY] stary samochód osobowy, ale mogli nim podjechać na bocznicę wyłącznie od strony Bychawskiej i Nowego Światu, które były po drugiej stronie dworca.",Musieli więc przenieść worki przez torowisko.,KWJP,skombinować,skombinować,to scare sth up,ukraść/pozyskać nielegalnie,to steal/obtain illegaly,offenses,1,1,X,1,1.0,1.0,"Zamek do tylnych drzwi furgonetki został otwarty siekierą, wewnątrz znajdowało się pięć worków pełnych pieniędzy. To był najtrudniejszy moment operacji. Ludziom Lalka udało się [PET_BOUNDARY]skombinować[PET_BOUNDARY] stary samochód osobowy, ale mogli nim podjechać na bocznicę wyłącznie od strony Bychawskiej i Nowego Światu, które były po drugiej stronie dworca. Musieli więc przenieść worki przez torowisko."
2437,2436,sometimes_euph,"W Internecie można znaleźć mnóstwo zdjęć artysty, na których widać, że 40-latek pławi się w luksusie.","Teraz wyszło na jaw, że raperowi nie [PET_BOUNDARY]powodziło się[PET_BOUNDARY] aż tak dobrze.","Kilka dni temu 50 Cent złożył do amerykańskiego sądu dokumenty, w których ogłosił bankructwo.",KWJP,powodziło się,powodzić się,to be successful,,"to have sufficient amount of money, so as one does not have to worry about it",money,1,1,1,X,1.0,1.0,"W Internecie można znaleźć mnóstwo zdjęć artysty, na których widać, że 40-latek pławi się w luksusie. Teraz wyszło na jaw, że raperowi nie [PET_BOUNDARY]powodziło się[PET_BOUNDARY] aż tak dobrze. Kilka dni temu 50 Cent złożył do amerykańskiego sądu dokumenty, w których ogłosił bankructwo."
791,790,sometimes_euph,"(...) rozstaliśmy się, bo on twierdził, że jestem bierna (w sprawach cielesnych nie byłam, wiem, co robiłam).","I jeszcze, że traktuję go jako faceta, z którym mogłabym wreszcie ""to"" zrobić, a on, jako że jestem ""czysta"", nie chciałby mnie [PET_BOUNDARY]przelecieć[PET_BOUNDARY] i zostawić.","Pomyślałam, że może okazywałam mu za mało uczucia.",NKJP300,przelecieć,przelecieć,to fly across/ over,uprawiać seks,to have sex,sex,1,1,1,1,1.0,1.0,"(...) rozstaliśmy się, bo on twierdził, że jestem bierna (w sprawach cielesnych nie byłam, wiem, co robiłam). I jeszcze, że traktuję go jako faceta, z którym mogłabym wreszcie ""to"" zrobić, a on, jako że jestem ""czysta"", nie chciałby mnie [PET_BOUNDARY]przelecieć[PET_BOUNDARY] i zostawić. Pomyślałam, że może okazywałam mu za mało uczucia."
1954,1953,sometimes_euph,"Stał dalej, przy samochodach, nie z nami.","Przez mgłę widziałem przed sobą [PET_BOUNDARY]tył[PET_BOUNDARY] samochodu strażackiego, a po bokach pobojowisko w typowo sowieckim stylu – ruiny garaży, rozwalające się magazyny i wraki zardzewiałych samolotów.","Samochód strażaków zatrzymał się, wycofał i zawrócił w prawo.",KWJP,tył,tył,back,-,-,body parts,0,X,0,0,0.0,0.0,"Stał dalej, przy samochodach, nie z nami. Przez mgłę widziałem przed sobą [PET_BOUNDARY]tył[PET_BOUNDARY] samochodu strażackiego, a po bokach pobojowisko w typowo sowieckim stylu – ruiny garaży, rozwalające się magazyny i wraki zardzewiałych samolotów. Samochód strażaków zatrzymał się, wycofał i zawrócił w prawo."
1563,1562,sometimes_euph,"Jest strasznym śpiochem i spogląda na mnie z dezaprobatą, gdy wstaję wcześniej niż o 10.00.","Do tej godziny jest nieprzytomny – zmienia boczki, mlaska przez sen i również przez sen… puszcza [PET_BOUNDARY]bąki[PET_BOUNDARY]!",Później idzie z Tatą i Fuksiem na spacer.,KWJP,bąki,bąk,bumblebee,pierdnięcie,fart,physiology,1,1,X,1,1.0,1.0,"Jest strasznym śpiochem i spogląda na mnie z dezaprobatą, gdy wstaję wcześniej niż o 10.00. Do tej godziny jest nieprzytomny – zmienia boczki, mlaska przez sen i również przez sen… puszcza [PET_BOUNDARY]bąki[PET_BOUNDARY]! Później idzie z Tatą i Fuksiem na spacer."
224,223,sometimes_euph,Był to tzw. trunf i wygrywało się wszystkie monety.,"Odbijak natomiast to też gra na pieniądze, ale we [PET_BOUNDARY]dwójkę[PET_BOUNDARY].","Uderzało się swoją monetą o ścianę, a drugi kolega tak starał się uderzyć, by jego moneta była najbliżej tej pierwszej.",KWJP,dwójkę,dwójka,two,-,-,money,0,0,0,X,0.0,0.0,"Był to tzw. trunf i wygrywało się wszystkie monety. Odbijak natomiast to też gra na pieniądze, ale we [PET_BOUNDARY]dwójkę[PET_BOUNDARY]. Uderzało się swoją monetą o ścianę, a drugi kolega tak starał się uderzyć, by jego moneta była najbliżej tej pierwszej."
626,625,sometimes_euph,"Islamabad ma strategiczne interesy w Afganistanie, więc co pół roku przedłuża im karty pobytu.","Iran też [PET_BOUNDARY]gości[PET_BOUNDARY] Afgańczyków, 840 tys. - głównie pokrewnych etnicznie Hazarów.","Za to nie przyjmuje Syryjczyków, bo ajatollahowie są najwierniejszym sojusznikiem Asada.",refugee crisis,gości,gościć,to host,pozwolić imigrantom/ uchodźcom na osiedlenie się,to allow immigrants/ refugees to settle in a given territory,immigration,1,0,0,1,0.5,0.5,"Islamabad ma strategiczne interesy w Afganistanie, więc co pół roku przedłuża im karty pobytu. Iran też [PET_BOUNDARY]gości[PET_BOUNDARY] Afgańczyków, 840 tys. - głównie pokrewnych etnicznie Hazarów. Za to nie przyjmuje Syryjczyków, bo ajatollahowie są najwierniejszym sojusznikiem Asada."
2438,2437,sometimes_euph,To jest naiwność.,"Też mógłbym sobie powiedzieć, że chcę mieć zakład stolarski, bo znam firmę „Taboret”, której właściciel wpieprzył w nią kupę [PET_BOUNDARY]siana[PET_BOUNDARY], a i tak nie potrafią zrobić porządnego krzesła, a ja umiem, chociaż nie wiem, co to hebel.","Taki to nasz problem – wydaje się nam, że na wszystkim znamy się najlepiej.",KWJP,siana,siano,hay,pieniądze,money,money,1,1,1,X,1.0,1.0,"To jest naiwność. Też mógłbym sobie powiedzieć, że chcę mieć zakład stolarski, bo znam firmę „Taboret”, której właściciel wpieprzył w nią kupę [PET_BOUNDARY]siana[PET_BOUNDARY], a i tak nie potrafią zrobić porządnego krzesła, a ja umiem, chociaż nie wiem, co to hebel. Taki to nasz problem – wydaje się nam, że na wszystkim znamy się najlepiej."
617,616,sometimes_euph,"Podejrzanemu grozi do 2 lat pozbawienia wolności - twierdzi Iwona Pawłowska, rzecznik prasowy płońskiej policji.","Dodaje, że gimnazjalista, który kupił na melinie alkohol jednego dnia spożył [PET_BOUNDARY]pół litra[PET_BOUNDARY] mocnego trunku.",Zaraz potem mocno się rozchorował.,NKJP300,pół litra,pół litra,half a litre,-,-,substances,0,0,0,0,0.0,0.0,"Podejrzanemu grozi do 2 lat pozbawienia wolności - twierdzi Iwona Pawłowska, rzecznik prasowy płońskiej policji. Dodaje, że gimnazjalista, który kupił na melinie alkohol jednego dnia spożył [PET_BOUNDARY]pół litra[PET_BOUNDARY] mocnego trunku. Zaraz potem mocno się rozchorował."
1405,1404,sometimes_euph,"Wyglądała na zbolałą, miała poszarzałą, zmartwioną twarz, jakby bardzo cierpiała.","– Pani, czyżbyś [PET_BOUNDARY]była niezdrowa[PET_BOUNDARY]? – zapytał kasztelan.","– Nie, mężu.",KWJP,była niezdrowa,być niezdrowym,to be unhealthy,być chorym,to be sick,illness,X,1,1,1,1.0,1.0,"Wyglądała na zbolałą, miała poszarzałą, zmartwioną twarz, jakby bardzo cierpiała. – Pani, czyżbyś [PET_BOUNDARY]była niezdrowa[PET_BOUNDARY]? – zapytał kasztelan. – Nie, mężu."
972,971,sometimes_euph,"(...) młodych lekarzy nie uczy się, jak się dokonuje takiego zabiegu, więc za jakiś czas po prostu zabraknie specjalistów.","Ale w Niemczech w przeciwieństwie do Polski refunduje się [PET_BOUNDARY]środki[PET_BOUNDARY] antykoncepcyjne do dwudziestego roku życia, dzięki czemu spada po prostu liczba aborcji wśród nieletnich i młodych kobiet.",Dotychczas to prawo nie przysparzało problemów.,KWJP,środki,środek,means,-,-,money,0,0,0,0,0.0,0.0,"(...) młodych lekarzy nie uczy się, jak się dokonuje takiego zabiegu, więc za jakiś czas po prostu zabraknie specjalistów. Ale w Niemczech w przeciwieństwie do Polski refunduje się [PET_BOUNDARY]środki[PET_BOUNDARY] antykoncepcyjne do dwudziestego roku życia, dzięki czemu spada po prostu liczba aborcji wśród nieletnich i młodych kobiet. Dotychczas to prawo nie przysparzało problemów."
1974,1973,sometimes_euph,– Pierwsze kroki stawiałyśmy w naszych domach.,"Same jeździłyśmy do hurtowni po materiały, kroiłyśmy je i [PET_BOUNDARY]kombinowałyśmy[PET_BOUNDARY], jak zrobić coś pięknego i użytecznego.",Siedziałyśmy po nocach i w weekendy.,KWJP,kombinowałyśmy,kombinować,ponder,-,-,vice,0,X,0,0,0.0,0.0,"– Pierwsze kroki stawiałyśmy w naszych domach. Same jeździłyśmy do hurtowni po materiały, kroiłyśmy je i [PET_BOUNDARY]kombinowałyśmy[PET_BOUNDARY], jak zrobić coś pięknego i użytecznego. Siedziałyśmy po nocach i w weekendy."
651,650,sometimes_euph,"Jutro Szymek jedzie po mamę - ale mama zajedzie jeszcze do Częstochowy, tak że będzie dopiero koło 20-go.","Jest nowa gosposia, ""pani Klara"", ze swoją 14-letnią suką, ledwie łażącą, która natychmiast [PET_BOUNDARY]puściła się[PET_BOUNDARY] z sąsiadem psem, a potem z Tropem.","Wiesio jest z Alfą, tak że jest siedem psów w domu, no i ósmy Kramsztyk",NKJP300,puściła się,puścić się,to let go/ to start running,uprawiać seks,to have sex,sex,1,1,1,1,1.0,1.0,"Jutro Szymek jedzie po mamę - ale mama zajedzie jeszcze do Częstochowy, tak że będzie dopiero koło 20-go. Jest nowa gosposia, ""pani Klara"", ze swoją 14-letnią suką, ledwie łażącą, która natychmiast [PET_BOUNDARY]puściła się[PET_BOUNDARY] z sąsiadem psem, a potem z Tropem. Wiesio jest z Alfą, tak że jest siedem psów w domu, no i ósmy Kramsztyk"
605,604,sometimes_euph,"Doceniłem ten gest, lecz nie skorzystałem.",Za [PET_BOUNDARY]koksem[PET_BOUNDARY] nie przepadam.,"Zresztą dość szybko ogarnęło mnie marzenie o wyjściu, którego pewnie nikt nie zauważył.",KWJP,koksem,koks,coke,kokaina,cocaine,substances,1,1,0,1,1.0,1.0,"Doceniłem ten gest, lecz nie skorzystałem. Za [PET_BOUNDARY]koksem[PET_BOUNDARY] nie przepadam. Zresztą dość szybko ogarnęło mnie marzenie o wyjściu, którego pewnie nikt nie zauważył."
1979,1978,sometimes_euph,"Teraz Jakub kołysze się na boki i przebiera nogami coraz szybciej, pokrzykuje na grajków i oni rozumieją, że ten dziwny człowiek domaga się, by też zagrali.","Skądś przychodzi starszy mężczyzna z santurem, tureckimi [PET_BOUNDARY]cymbałami[PET_BOUNDARY], i kiedy przyłącza się po chwili do grających, muzyka staje się zupełnie skończona, doskonała do tańca.",Wtedy Jakub kładzie ręce na ramionach dwóch podrygujących gapiów i już drobią małe kroczki.,KWJP,cymbałami,cymbał,cimbalom,-,-,vice,0,X,0,0,0.0,0.0,"Teraz Jakub kołysze się na boki i przebiera nogami coraz szybciej, pokrzykuje na grajków i oni rozumieją, że ten dziwny człowiek domaga się, by też zagrali. Skądś przychodzi starszy mężczyzna z santurem, tureckimi [PET_BOUNDARY]cymbałami[PET_BOUNDARY], i kiedy przyłącza się po chwili do grających, muzyka staje się zupełnie skończona, doskonała do tańca. Wtedy Jakub kładzie ręce na ramionach dwóch podrygujących gapiów i już drobią małe kroczki."
351,350,sometimes_euph,Jak swojsko wyróżniają się na tym tle takie na przykład informacje: oto Robert Musil był człowiekiem pedantycznie zadbanym (żaden tam „bez właściwości”).,"Jego lakierki lśniły najjaśniej w wiedeńskich kawiarniach, godzinę dziennie ćwiczył hantelkami i robił przysiady, w swoim dzienniczku notował każdego wypalonego papierosa i każde [PET_BOUNDARY]zbliżenie[PET_BOUNDARY] z żoną (litera C – coitus)",Obraz nocnej Ziemi widzianej z satelitów przypomina salamandrę plamistą.,KWJP,zbliżenie,zbliżenie,closeup,-,-,sex,1,1,1,X,1.0,1.0,"Jak swojsko wyróżniają się na tym tle takie na przykład informacje: oto Robert Musil był człowiekiem pedantycznie zadbanym (żaden tam „bez właściwości”). Jego lakierki lśniły najjaśniej w wiedeńskich kawiarniach, godzinę dziennie ćwiczył hantelkami i robił przysiady, w swoim dzienniczku notował każdego wypalonego papierosa i każde [PET_BOUNDARY]zbliżenie[PET_BOUNDARY] z żoną (litera C – coitus) Obraz nocnej Ziemi widzianej z satelitów przypomina salamandrę plamistą."
