id,text,sentence,pet,label,category,euph_status,sub-category,source,pet_wordform,left-hand context (one sentence),right-hand context (one sentence),literal_translation,non_euph_equivalent,non_euph_equivalent_translation
11,"Co ciekawe, wystawki w Niemczech działają pomimo pewnych niesprzyjających przepisów prawnych. Zgodnie z kodeksem karnym, zabieranie rzeczy wystawionych na ulicę jest kradzieżą, pozostają one bowiem własnością wystawiającego aż do momentu zapakowania ich do śmieciarki. Ale wystarczy kwitek od właściciela potwierdzający, że daną rzecz zabraliśmy za jego zgodą.","Zgodnie z kodeksem karnym, zabieranie rzeczy wystawionych na ulicę jest kradzieżą, pozostają one bowiem własnością wystawiającego aż do momentu zapakowania ich do śmieciarki.",zabieranie,0,illegal activity,sometimes_euph,offenses,KWJP,zabieranie,"Co ciekawe, wystawki w Niemczech działają pomimo pewnych niesprzyjających przepisów prawnych.","Ale wystarczy kwitek od właściciela potwierdzający, że daną rzecz zabraliśmy za jego zgodą.",taking,kradzież,theft
12,"Dostawała furii, że Andy Warhol rejestruje ich rozmowy, a potem wykorzystuje jej wypowiedzi w swoich filmach. Zdecydowała się go zabić, bo nie oddał jej dramatu, którego jedną z dwóch istniejących kopii mu pożyczyła. Żyła w ciągłym strachu, że zostanie okradziona z własnych słów i pomysłów.","Zdecydowała się go zabić, bo nie oddał jej dramatu, którego jedną z dwóch istniejących kopii mu pożyczyła.",nie oddać,1,illegal activity,sometimes_euph,offenses,KWJP,nie oddał,"Dostawała furii, że Andy Warhol rejestruje ich rozmowy, a potem wykorzystuje jej wypowiedzi w swoich filmach.","Żyła w ciągłym strachu, że zostanie okradziona z własnych słów i pomysłów.",to not return,ukraść,to steal
1245,"Najgorzej to być nadgorliwym i to w każdą stronę. Brawo, więcej ameb wlezie pod rozpędzone samochody i selekcja zadziała szybciej. Fajnie.","Brawo, więcej ameb wlezie pod rozpędzone samochody i selekcja zadziała szybciej.",ameba,1,physical/mental attributes,sometimes_euph,vice,KWJP,ameb,Najgorzej to być nadgorliwym i to w każdą stronę.,Fajnie.,amoeba,głupiec,fool
1255,Pasożyta nazwanego po łacinie Naegleria fowleri uważa się za przyczynę zgonu dwojga dzieci oraz obarcza odpowiedzialnością za plagę śmierci zwierząt domowych w Nowym Orleanie. Ameba była obecna w wodzie pitnej. Co najgroźniejsze – kontakt z wody skażoną amebą kończy się tragicznie w przypadku najmłodszych.,Ameba była obecna w wodzie pitnej.,ameba,0,physical/mental attributes,sometimes_euph,vice,KWJP,ameba,Pasożyta nazwanego po łacinie Naegleria fowleri uważa się za przyczynę zgonu dwojga dzieci oraz obarcza odpowiedzialnością za plagę śmierci zwierząt domowych w Nowym Orleanie.,Co najgroźniejsze – kontakt z wody skażoną amebą kończy się tragicznie w przypadku najmłodszych.,amoeba,-,-
1295,"Widać na nich faszystowskie napisy na nowo wybudowanym moście. „Ameby umysłowe"", „Trzeba go zabrać na wycieczkę do Oświęcimia"", „Koszmar"" — to niektóre z komentarzy na stronie tej miejscowości, które pojawiły się po zamieszczeniu zdjęć. Jak dowiedzieliśmy się, chrzanowska policja na razie nie otrzymała oficjalnego zgłoszenia, w związku z czym nie podjęła żadnych czynności w tej sprawie.","„Ameby umysłowe"", „Trzeba go zabrać na wycieczkę do Oświęcimia"", „Koszmar"" — to niektóre z komentarzy na stronie tej miejscowości, które pojawiły się po zamieszczeniu zdjęć.",ameba,1,physical/mental attributes,sometimes_euph,vice,KWJP,ameby,Widać na nich faszystowskie napisy na nowo wybudowanym moście.,"Jak dowiedzieliśmy się, chrzanowska policja na razie nie otrzymała oficjalnego zgłoszenia, w związku z czym nie podjęła żadnych czynności w tej sprawie.",amoeba,głupiec,fool
609,"- Lektura tych utworów (było ich z pewnością wiele) sprawiła, że ludzie zaczęli wręcz pasjonować się wiejskimi amorami. Znajdowali radość w zabawach, jakie pasterze organizowali na łonie życzliwej i łagodnej przyrody.","Lektura tych utworów (było ich z pewnością wiele) sprawiła, że ludzie zaczęli wręcz pasjonować się wiejskimi amorami.",amor,1,sexual activity,always_euph,,NKJP300,amorami,-,"Znajdowali radość w zabawach, jakie pasterze organizowali na łonie życzliwej i łagodnej przyrody.",courtship?,-,-
17,"Padła mu prawdopodobnie komórka, bo Jarosław nie mógł się do niego dodzwonić. Zatelefonowałem do Pawła Szefernakera, mojego asystenta, który też był w pociągu, żeby go odnalazł i pożyczył mu swoją. Przyszedł ambasador Bahr.","Zatelefonowałem do Pawła Szefernakera, mojego asystenta, który też był w pociągu, żeby go odnalazł i pożyczył mu swoją.",pożyczyć,0,illegal activity,sometimes_euph,offenses,KWJP,pożyczył,"Padła mu prawdopodobnie komórka, bo Jarosław nie mógł się do niego dodzwonić.",Przyszedł ambasador Bahr.,to borrow/to lend,-,-
696,"- Bierze go na amory w środku nocy - coś nie pozwala mu zasnąć. To znowu ta mała różnica, tym razem urosła do całkiem sporych rozmiarów.",Bierze go na amory w środku nocy - coś nie pozwala mu zasnąć.,amor,1,sexual activity,always_euph,,NKJP300,amory,-,"To znowu ta mała różnica, tym razem urosła do całkiem sporych rozmiarów.",courtship?,seks,sex
19,"Pewnej niedzieli wieczorem w przebraniu napadł na swojego przełożonego, zaskoczył go podczas liczenia pieniędzy z tacy. Zarzucił mu na głowę worek, związał go i zabrał pieniądze. Chwilę później, już w sutannie, przybiega, ratuje proboszcza i z dumą pokazuje worek z kasą, którą rzekomo odebrał włamywaczom.","Zarzucił mu na głowę worek, związał go i zabrał pieniądze.",zabrać,1,illegal activity,sometimes_euph,offenses,KWJP,zabrał,"Pewnej niedzieli wieczorem w przebraniu napadł na swojego przełożonego, zaskoczył go podczas liczenia pieniędzy z tacy.","Chwilę później, już w sutannie, przybiega, ratuje proboszcza i z dumą pokazuje worek z kasą, którą rzekomo odebrał włamywaczom.",to take,ukraść,to steal
790,"Ten wrócił na swoje leże i zaczął chrapać. Już chciałem na powrót zabierać się do amorów, gdy dziewczyna przytuliła się do mnie i zaczęła cicho płakać, jak skrzywdzone dziecko. Pomyślałem sobie, że to naprawdę dziecko jeszcze, pewnie dziewica.","Już chciałem na powrót zabierać się do amorów, gdy dziewczyna przytuliła się do mnie i zaczęła cicho płakać, jak skrzywdzone dziecko.",amor,1,sexual activity,always_euph,,NKJP300,amorów,Ten wrócił na swoje leże i zaczął chrapać.,"Pomyślałem sobie, że to naprawdę dziecko jeszcze, pewnie dziewica.",courtship?,seks,sex
1064,"Argument przemówił do dziewczyny na tyle, że bez dalszych rozmów zrzuciła z siebie, co było jeszcze do zrzucenia, i stanęła przed włochatym, jak ją pan bóg stworzył. Ten niczym wytrawny kochanek przyklęknął i zabrał się do pokrywania pocałunkami bladego uda, po czym nagle znieruchomiał i nie wiedzieć czemu zaprzestał amorów. - Oj - westchnął smutno diabeł (jak Gośka zdecydowała się go w myślach nazywać) - chyba jest już po wszystkim.","Ten niczym wytrawny kochanek przyklęknął i zabrał się do pokrywania pocałunkami bladego uda, po czym nagle znieruchomiał i nie wiedzieć czemu zaprzestał amorów.",amor,1,sexual activity,always_euph,,NKJP300,amorów,"Argument przemówił do dziewczyny na tyle, że bez dalszych rozmów zrzuciła z siebie, co było jeszcze do zrzucenia, i stanęła przed włochatym, jak ją pan bóg stworzył.",- Oj - westchnął smutno diabeł (jak Gośka zdecydowała się go w myślach nazywać) - chyba jest już po wszystkim.,courtship?,seks,sex
1084,"I cóż go to aktualnie obchodziło, jako Zubow, od tego pamiętnego wieczora, nie pokazał się już w pałacu, jako Cycjanow powrócił znowu do łask, jako zaczął się plątać koło niej i zabiegać o względy królewski przyjaciel, kawaler Littlepage, piękny Amerykanin i persona wielce tajemnicza. Dalekim się poczuł od tych miałkich zgryzot amorów, turbacji a zabiegów o kochanki lubej spojrzenia i względy łaskawsze, więc tym żarliwiej dał się jarzmu obowiązków i wytężonej pracy, a było jej tyle i tak brzemiennej następstwami a zarazem niebezpiecznej, że zdawał się w miarę przeszkód olbrzymieć i udziesięciokrotniać w siły i przebiegłe męstwo. -","Dalekim się poczuł od tych miałkich zgryzot amorów, turbacji a zabiegów o kochanki lubej spojrzenia i względy łaskawsze, więc tym żarliwiej dał się jarzmu obowiązków i wytężonej pracy, a było jej tyle i tak brzemiennej następstwami a zarazem niebezpiecznej, że zdawał się w miarę przeszkód olbrzymieć i udziesięciokrotniać w siły i przebiegłe męstwo.",amor,1,sexual activity,always_euph,,NKJP300,amorów,"I cóż go to aktualnie obchodziło, jako Zubow, od tego pamiętnego wieczora, nie pokazał się już w pałacu, jako Cycjanow powrócił znowu do łask, jako zaczął się plątać koło niej i zabiegać o względy królewski przyjaciel, kawaler Littlepage, piękny Amerykanin i persona wielce tajemnicza.",-,courtship?,-,-
1107,"Krajobraz zgoła inny niż w Kamumbuni czy Mukuni, choć jesteśmy w tym samym regionie. Wokół nas plantacja bananowców, dalej papaje i arbuzy. Gdzieś z tyłu widać kilka osób pracujących w polu.","Wokół nas plantacja bananowców, dalej papaje i arbuzy.",arbuz,0,bodily functions/parts,sometimes_euph,body parts,KWJP,abuzy,"Krajobraz zgoła inny niż w Kamumbuni czy Mukuni, choć jesteśmy w tym samym regionie.",Gdzieś z tyłu widać kilka osób pracujących w polu.,watermelon,-,-
24,"Na chwilę, tylko na chwilę, zanim nie ubierze butów. Zabieranie dziecka z wersalki i wkładanie do wózka. Uspokajanie dziecka.",Zabieranie dziecka z wersalki i wkładanie do wózka.,zabieranie,0,illegal activity,sometimes_euph,offenses,KWJP,zabieranie,"Na chwilę, tylko na chwilę, zanim nie ubierze butów.",Uspokajanie dziecka.,taking,-,-
1166,"Jego odzwierciedleniem są wpisy na formach internetowych lub w komentarzach internautów. Panowie o dużych piersiach mówią: arbuzy, mleczarnia, baniaki, zaś o małych piersiach: jajka sadzone, krosty lub biust po tacie. Według internautów akt seksualny to nie tylko bzykanie się i bara-bara, ale także cipci-ripci i fiku-miku.","Panowie o dużych piersiach mówią: arbuzy, mleczarnia, baniaki, zaś o małych piersiach: jajka sadzone, krosty lub biust po tacie.",arbuz,1,bodily functions/parts,sometimes_euph,body parts,KWJP,arbuzy,Jego odzwierciedleniem są wpisy na formach internetowych lub w komentarzach internautów.,"Według internautów akt seksualny to nie tylko bzykanie się i bara-bara, ale także cipci-ripci i fiku-miku.",watermelon,piersi,breasts
1252,"— Ostatni raz miałam sukienkę bez ramiączek na swojej osiemnastce — wspomina Kinga. Arbuzy, melony, balony, zderzaki. Kryłam je w moro i w khaki. Częściowym rozwiązaniem tych problemów jest dobrze dobrany biustonosz, ale o taki nie jest łatwo, szczególnie w mniejszych miastach.","Arbuzy, melony, balony, zderzaki.",arbuz,1,bodily functions/parts,sometimes_euph,body parts,KWJP,arbuzy,— Ostatni raz miałam sukienkę bez ramiączek na swojej osiemnastce — wspomina Kinga.,"Kryłam je w moro i w khaki. Częściowym rozwiązaniem tych problemów jest dobrze dobrany biustonosz, ale o taki nie jest łatwo, szczególnie w mniejszych miastach.",watermelon,piersi,breasts
27,"Płatem żółwiej skóry, rozpiętym pomiędzy kiwającym w skwarze palcem minaretu a wymarłymi koszarami po lewej. Z zetlałego na kumin czerstwego cielska — całego w zmarszczkach i łuskach światłocienia — sterczały zbrojeniowe druty, kable i rdzewiejące rury; pokrywał je gruz i skorupy wypalanej gliny. Słońce, matowe i mętne, toczyło wydmy brudu i cuchnących śmieci.","Z zetlałego na kumin czerstwego cielska — całego w zmarszczkach i łuskach światłocienia — sterczały zbrojeniowe druty, kable i rdzewiejące rury; pokrywał je gruz i skorupy wypalanej gliny.",glina,0,illegal activity,sometimes_euph,offenses,KWJP,gliny,"Płatem żółwiej skóry, rozpiętym pomiędzy kiwającym w skwarze palcem minaretu a wymarłymi koszarami po lewej.","Słońce, matowe i mętne, toczyło wydmy brudu i cuchnących śmieci.",clay,-,-
1253,"Dodaje się go też do deserów i lodów. Arbuzy mogą być okrągłe lub podłużne, o kolorze skórki od jasnozielonego do ciemnozielonego, z jaśniejszymi paskami. Najczęściej spotykanym kolorem miąższu jest jasnoczerwony, ale w niektórych odmianach bywa ciemnobrązowy, pomarańczowy, żółty, różowy lub biały.","Arbuzy mogą być okrągłe lub podłużne, o kolorze skórki od jasnozielonego do ciemnozielonego, z jaśniejszymi paskami.",arbuz,0,bodily functions/parts,sometimes_euph,body parts,KWJP,arbuzy,Dodaje się go też do deserów i lodów.,"Najczęściej spotykanym kolorem miąższu jest jasnoczerwony, ale w niektórych odmianach bywa ciemnobrązowy, pomarańczowy, żółty, różowy lub biały.",watermelon,-,-
29,"Na rondzie koło firmy Xerotronic zatrzymałem się przed przejściem dla pieszych. Z podwórka firmy wyjechało wtedy czarne auto na włoskich tablicach i chwilę później na pełnym gazie rąbnęło w bok mojego samochodu — opowiada mężczyzna, który zgłosił się do ""Wyborczej"". — Twarzy tamtego kierowcy nie zapomnę do końca życia.","Z podwórka firmy wyjechało wtedy czarne auto na włoskich tablicach i chwilę później na pełnym gazie rąbnęło w bok mojego samochodu — opowiada mężczyzna, który zgłosił się do ""Wyborczej"".",rąbnąć,0,illegal activity,sometimes_euph,offenses,KWJP,rąbnęło,Na rondzie koło firmy Xerotronic zatrzymałem się przed przejściem dla pieszych.,— Twarzy tamtego kierowcy nie zapomnę do końca życia.,to bang,-,-
30,"– Wiesz, co to jest? – spytała, wysypując zawartość na podłogę. Z plecaka wyleciały zwinięte ciasno koszulki, majtki, jeden biustonosz, jakieś brzęczące pudełeczko i parę innych drobiazgów. Po krótkiej chwili oczekiwania na odpowiedź kobieta przykucnęła, wpatrując się w oczy Klaudyny.","Z plecaka wyleciały zwinięte ciasno koszulki, majtki, jeden biustonosz, jakieś brzęczące pudełeczko i parę innych drobiazgów.",zwinąć,0,illegal activity,sometimes_euph,offenses,KWJP,zwinięte,"– Wiesz, co to jest? – spytała, wysypując zawartość na podłogę.","Po krótkiej chwili oczekiwania na odpowiedź kobieta przykucnęła, wpatrując się w oczy Klaudyny.",to roll up,-,-
1254,"Tak, to nie pomyłka! Arbuz i melon to warzywa należące do rodziny dyniowatych, podobnie jak ogórek czy cukinia. Słodki smak sprawia, że rzadko zdarza nam się myśleć o nich jak o warzywach.","Arbuz i melon to warzywa należące do rodziny dyniowatych, podobnie jak ogórek czy cukinia.",arbuz,0,bodily functions/parts,sometimes_euph,body parts,KWJP,arbuz,"Tak, to nie pomyłka!","Słodki smak sprawia, że rzadko zdarza nam się myśleć o nich jak o warzywach.",watermelon,-,-
1280,"„Mega luzik, ciiii, arbuzik” – głosi autor. – „Twojego ciała mi się zachciało, twoich arbuzów ciągle mi mało” – rozwija po chwili. Czy pusta dynia to też arbuz?","– „Twojego ciała mi się zachciało, twoich arbuzów ciągle mi mało” – rozwija po chwili.",arbuz,1,bodily functions/parts,sometimes_euph,body parts,KWJP,arbuzów,"„Mega luzik, ciiii, arbuzik” – głosi autor.",Czy pusta dynia to też arbuz?,watermelon,piersi,breasts
33,"Zarówno wobec władz urzędujących w Paryżu, jak i administrujących na miejscu. Wzburzenie ludu wywoływały również nadużycia władz lokalnych, związanych z nią środowisk oraz zwolenników rewolucji wywodzących się głównie z miasteczek – „republikanów” albo „patriotów” czerpiących korzyści ze swojego uprzywilejowanego stanowiska oraz, jak pisze Secher, prowokująco wynoszących się ponad innych. „Skąd macie pieniądze, bezczelni złodzieje?”","Wzburzenie ludu wywoływały również nadużycia władz lokalnych, związanych z nią środowisk oraz zwolenników rewolucji wywodzących się głównie z miasteczek – „republikanów” albo „patriotów” czerpiących korzyści ze swojego uprzywilejowanego stanowiska oraz, jak pisze Secher, prowokująco wynoszących się ponad innych.",czerpać korzyści,1,illegal activity,sometimes_euph,offenses,KWJP,czerpiących korzyści,"Zarówno wobec władz urzędujących w Paryżu, jak i administrujących na miejscu.","„Skąd macie pieniądze, bezczelni złodzieje?”",to benefit,brać łapówki,to take bribes
34,"Na gumce pisałem od tyłu „chuj”, po czym pieczętowałem mu rękę albo czoło, zresztą z wzajemnością. Wzajemne bazgranie, czy nawet rwanie całych zeszytów, zrzucanie plecaka z wyższego piętra drugiemu na głowę, wzajemne spsikiwanie podwędzonym z domu, tandetnym dezodorantem – te zabawy były naszą chłopięcą normą. Nie było to przyjemne, niestety, ale w szkole byłem mistrzem takich zabaw.","Wzajemne bazgranie, czy nawet rwanie całych zeszytów, zrzucanie plecaka z wyższego piętra drugiemu na głowę, wzajemne spsikiwanie podwędzonym z domu, tandetnym dezodorantem – te zabawy były naszą chłopięcą normą.",podwędzić,1,illegal activity,sometimes_euph,offenses,KWJP,podwędzonym,"Na gumce pisałem od tyłu „chuj”, po czym pieczętowałem mu rękę albo czoło, zresztą z wzajemnością.","Nie było to przyjemne, niestety, ale w szkole byłem mistrzem takich zabaw.","to smoke (meet, fish etc.)",ukraść,to steal
35,"Wykupywano, wykradano ubrania pomordowanych. Wyrostki wiejskie od rana czatowały za drzewami, przyglądały się nadjeżdżającym transportom, spokojnie wysłuchiwały strzałów i krzyków, potem podkradały się pod kupy bezładnie, w śmiertelnej trwodze porozrzucanych ubrań, chwytały, co się dało i uciekały. Czasami Ukraińcy strzelali za tymi złodziejaszkami – dwóch chłopców zabito.","Wyrostki wiejskie od rana czatowały za drzewami, przyglądały się nadjeżdżającym transportom, spokojnie wysłuchiwały strzałów i krzyków, potem podkradały się pod kupy bezładnie, w śmiertelnej trwodze porozrzucanych ubrań, chwytały, co się dało i uciekały.",chwytać,1,illegal activity,sometimes_euph,offenses,KWJP,chwytały,"Wykupywano, wykradano ubrania pomordowanych.",Czasami Ukraińcy strzelali za tymi złodziejaszkami – dwóch chłopców zabito.,to grab,kraść,to steal
1535,"A nawet gorzej: dyscyplinarnie karał krytykujących metody przystojnego chirurga. Ciężar gatunkowy i skuteczność bajeru, którym Macchiarini częstował otoczenie, najlepiej pokazuje historia jego byłej narzeczonej Benity Alexander. Pojawiły się obrączki, miał być ślub, który przejdzie do historii: związek pobłogosławi w Castel Gandolfo sam papież Franciszek, zaśpiewa Andrea Bocelli, a wśród gości będą Putin, Obamowie i Russell Crowe.","Ciężar gatunkowy i skuteczność bajeru, którym Macchiarini częstował otoczenie, najlepiej pokazuje historia jego byłej narzeczonej Benity Alexander.",bajer,1,misc.,sometimes_euph,vice,KWJP,bajeru,A nawet gorzej: dyscyplinarnie karał krytykujących metody przystojnego chirurga.,"Pojawiły się obrączki, miał być ślub, który przejdzie do historii: związek pobłogosławi w Castel Gandolfo sam papież Franciszek, zaśpiewa Andrea Bocelli, a wśród gości będą Putin, Obamowie i Russell Crowe.",luxury add-on,kłamstwo,lie
1575,"Tylko wtedy maszyna będzie naprawdę szybka. Druga opcja nakazuje doposażyć sprzęt i właściciela w drogie bajery, żeby mógł podróżować komfortowo. Motocykliści dzielą się też na turystów i sportowców, na amatorów dalekich wypraw i łowców prędkości.","Druga opcja nakazuje doposażyć sprzęt i właściciela w drogie bajery, żeby mógł podróżować komfortowo.",bajer,0,misc.,sometimes_euph,vice,KWJP,bajery,Tylko wtedy maszyna będzie naprawdę szybka.,"Motocykliści dzielą się też na turystów i sportowców, na amatorów dalekich wypraw i łowców prędkości.",luxury add-on,-,-
1611,"Całuje paluszki, kosteczki, nadgarstki – zachwyca się. I nawet jeśli wiemy, że to bajer, to i tak jest rewelacyjnie. Chłoniemy całym ciałem i sercem to, co słyszymy, i zaczynamy promienieć szczęściem.","I nawet jeśli wiemy, że to bajer, to i tak jest rewelacyjnie.",bajer,1,misc.,sometimes_euph,vice,KWJP,bajer,"Całuje paluszki, kosteczki, nadgarstki – zachwyca się.","Chłoniemy całym ciałem i sercem to, co słyszymy, i zaczynamy promienieć szczęściem.",luxury add-on,kłamstwo,lie
39,"Jeszcze brakowało czegoś na tych łysych ścianach. Wyciągnęła pudło ze zdjęciami i wybrała cztery czarno-białe fotografie matki, jedną kota Maurycego i dwa bardzo udane portrety jej samej sprzed siedmiu lat. Porobiła zdjęcia zdjęciom i wysłała e-mailem do zakładu fotograficznego z prośbą o ich powiększenie.","Wyciągnęła pudło ze zdjęciami i wybrała cztery czarno-białe fotografie matki, jedną kota Maurycego i dwa bardzo udane portrety jej samej sprzed siedmiu lat.",pudło,0,illegal activity,sometimes_euph,offenses,KWJP,pudło,Jeszcze brakowało czegoś na tych łysych ścianach.,Porobiła zdjęcia zdjęciom i wysłała e-mailem do zakładu fotograficznego z prośbą o ich powiększenie.,a box,-,-
